Date (Daily +00:00: 01/01/2020 - 07/18/2022),Series,Value
1/3/20,ALJAZ,3
1/4/20,ALJAZ,3.6667
1/5/20,ALJAZ,2.3333
1/6/20,ALJAZ,1.6667
1/7/20,ALJAZ,4.3333
1/8/20,ALJAZ,62
1/9/20,ALJAZ,117.3333
1/10/20,ALJAZ,167
1/11/20,ALJAZ,181.6667
1/12/20,ALJAZ,174
1/13/20,ALJAZ,150.3333
1/14/20,ALJAZ,103.6667
1/15/20,ALJAZ,101.6667
1/16/20,ALJAZ,119
1/17/20,ALJAZ,139
1/18/20,ALJAZ,112.3333
1/19/20,ALJAZ,94.6667
1/20/20,ALJAZ,73.3333
1/21/20,ALJAZ,83.3333
1/22/20,ALJAZ,128
1/23/20,ALJAZ,125.6667
1/24/20,ALJAZ,119
1/25/20,ALJAZ,90.3333
1/26/20,ALJAZ,93.3333
1/27/20,ALJAZ,102.6667
1/28/20,ALJAZ,80
1/29/20,ALJAZ,81
1/30/20,ALJAZ,71.3333
1/31/20,ALJAZ,89.3333
2/1/20,ALJAZ,84.6667
2/2/20,ALJAZ,69.6667
2/3/20,ALJAZ,58.6667
2/4/20,ALJAZ,42.6667
2/5/20,ALJAZ,45
2/6/20,ALJAZ,23.6667
2/7/20,ALJAZ,33.6667
2/8/20,ALJAZ,57.3333
2/9/20,ALJAZ,51.6667
2/10/20,ALJAZ,39
2/11/20,ALJAZ,6.6667
2/12/20,ALJAZ,4
2/13/20,ALJAZ,1.3333
2/14/20,ALJAZ,1.3333
2/15/20,ALJAZ,1.3333
2/16/20,ALJAZ,1.3333
2/17/20,ALJAZ,2
2/18/20,ALJAZ,31
2/19/20,ALJAZ,44
2/20/20,ALJAZ,46
2/21/20,ALJAZ,26.3333
2/22/20,ALJAZ,18.3333
2/23/20,ALJAZ,18.3333
2/24/20,ALJAZ,10.6667
2/25/20,ALJAZ,5.6667
2/26/20,ALJAZ,2.3333
2/27/20,ALJAZ,1.6667
2/28/20,ALJAZ,4
2/29/20,ALJAZ,5
3/1/20,ALJAZ,3.3333
3/2/20,ALJAZ,1
3/3/20,ALJAZ,2.3333
3/4/20,ALJAZ,4.3333
3/5/20,ALJAZ,5.6667
3/6/20,ALJAZ,4.6667
3/7/20,ALJAZ,2.6667
3/8/20,ALJAZ,12.3333
3/9/20,ALJAZ,40.3333
3/10/20,ALJAZ,44
3/11/20,ALJAZ,36.6667
3/12/20,ALJAZ,13.6667
3/13/20,ALJAZ,13.6667
3/14/20,ALJAZ,10.3333
3/15/20,ALJAZ,5
3/16/20,ALJAZ,2.3333
3/17/20,ALJAZ,2
3/18/20,ALJAZ,1
3/19/20,ALJAZ,0
3/20/20,ALJAZ,0
3/21/20,ALJAZ,0.6667
3/22/20,ALJAZ,2
3/23/20,ALJAZ,2.3333
3/24/20,ALJAZ,1.6667
3/25/20,ALJAZ,0.6667
3/26/20,ALJAZ,0.3333
3/27/20,ALJAZ,0.6667
3/28/20,ALJAZ,3.3333
3/29/20,ALJAZ,4.6667
3/30/20,ALJAZ,4.6667
3/31/20,ALJAZ,2.3333
4/1/20,ALJAZ,1.3333
4/2/20,ALJAZ,1.6667
4/3/20,ALJAZ,1.6667
4/4/20,ALJAZ,2
4/5/20,ALJAZ,2.3333
4/6/20,ALJAZ,4.6667
4/7/20,ALJAZ,5
4/8/20,ALJAZ,4.3333
4/9/20,ALJAZ,5.3333
4/10/20,ALJAZ,8.6667
4/11/20,ALJAZ,13.3333
4/12/20,ALJAZ,19
4/13/20,ALJAZ,21.6667
4/14/20,ALJAZ,24.6667
4/15/20,ALJAZ,24.3333
4/16/20,ALJAZ,21.3333
4/17/20,ALJAZ,23.6667
4/18/20,ALJAZ,19
4/19/20,ALJAZ,16.3333
4/20/20,ALJAZ,8.6667
4/21/20,ALJAZ,4
4/22/20,ALJAZ,6
4/23/20,ALJAZ,6
4/24/20,ALJAZ,7.3333
4/25/20,ALJAZ,5
4/26/20,ALJAZ,3.6667
4/27/20,ALJAZ,2.6667
4/28/20,ALJAZ,2.6667
4/29/20,ALJAZ,1.3333
4/30/20,ALJAZ,2
5/1/20,ALJAZ,2.6667
5/2/20,ALJAZ,3
5/3/20,ALJAZ,3.6667
5/4/20,ALJAZ,2.3333
5/5/20,ALJAZ,3
5/6/20,ALJAZ,2
5/7/20,ALJAZ,2.6667
5/8/20,ALJAZ,1.6667
5/9/20,ALJAZ,1
5/10/20,ALJAZ,0
5/11/20,ALJAZ,2.6667
5/12/20,ALJAZ,4.3333
5/13/20,ALJAZ,4.6667
5/14/20,ALJAZ,3
5/15/20,ALJAZ,2
5/16/20,ALJAZ,27
5/17/20,ALJAZ,34.6667
5/18/20,ALJAZ,34.6667
5/19/20,ALJAZ,9.6667
5/20/20,ALJAZ,1.3333
5/21/20,ALJAZ,1.6667
5/22/20,ALJAZ,1.6667
5/23/20,ALJAZ,2.3333
5/24/20,ALJAZ,4.3333
5/25/20,ALJAZ,5.6667
5/26/20,ALJAZ,6.6667
5/27/20,ALJAZ,5
5/28/20,ALJAZ,4.6667
5/29/20,ALJAZ,4.6667
5/30/20,ALJAZ,4
5/31/20,ALJAZ,3.6667
6/1/20,ALJAZ,2.3333
6/2/20,ALJAZ,1.6667
6/3/20,ALJAZ,0.6667
6/4/20,ALJAZ,0.6667
6/5/20,ALJAZ,1
6/6/20,ALJAZ,1
6/7/20,ALJAZ,0.6667
6/8/20,ALJAZ,1.3333
6/9/20,ALJAZ,2.3333
6/10/20,ALJAZ,3
6/11/20,ALJAZ,16
6/12/20,ALJAZ,15.3333
6/13/20,ALJAZ,14.3333
6/14/20,ALJAZ,0.3333
6/15/20,ALJAZ,0.3333
6/16/20,ALJAZ,0.6667
6/17/20,ALJAZ,2.3333
6/18/20,ALJAZ,8.6667
6/19/20,ALJAZ,8.3333
6/20/20,ALJAZ,23.6667
6/21/20,ALJAZ,58.6667
6/22/20,ALJAZ,62
6/23/20,ALJAZ,46.6667
6/24/20,ALJAZ,6
6/25/20,ALJAZ,4.6667
6/26/20,ALJAZ,6.6667
6/27/20,ALJAZ,6.6667
6/28/20,ALJAZ,6.3333
6/29/20,ALJAZ,5
6/30/20,ALJAZ,4.6667
7/1/20,ALJAZ,3.6667
7/2/20,ALJAZ,2.3333
7/3/20,ALJAZ,2.6667
7/4/20,ALJAZ,2.3333
7/5/20,ALJAZ,1.6667
7/6/20,ALJAZ,4.3333
7/7/20,ALJAZ,7.3333
7/8/20,ALJAZ,8
7/9/20,ALJAZ,6.6667
7/10/20,ALJAZ,12
7/11/20,ALJAZ,14.3333
7/12/20,ALJAZ,14.3333
7/13/20,ALJAZ,6.6667
7/14/20,ALJAZ,3.3333
7/15/20,ALJAZ,1.3333
7/16/20,ALJAZ,1.3333
7/17/20,ALJAZ,2.3333
7/18/20,ALJAZ,4.6667
7/19/20,ALJAZ,6
7/20/20,ALJAZ,6.6667
7/21/20,ALJAZ,7.3333
7/22/20,ALJAZ,20
7/23/20,ALJAZ,21.3333
7/24/20,ALJAZ,18
7/25/20,ALJAZ,3
7/26/20,ALJAZ,1.6667
7/27/20,ALJAZ,6
7/28/20,ALJAZ,21
7/29/20,ALJAZ,20
7/30/20,ALJAZ,26.3333
7/31/20,ALJAZ,19.6667
8/1/20,ALJAZ,26.3333
8/2/20,ALJAZ,22
8/3/20,ALJAZ,20
8/4/20,ALJAZ,19.6667
8/5/20,ALJAZ,20.3333
8/6/20,ALJAZ,20.6667
8/7/20,ALJAZ,13.6667
8/8/20,ALJAZ,6.6667
8/9/20,ALJAZ,0
8/10/20,ALJAZ,1.6667
8/11/20,ALJAZ,5.6667
8/12/20,ALJAZ,5.6667
8/13/20,ALJAZ,4
8/14/20,ALJAZ,0.6667
8/15/20,ALJAZ,7.6667
8/16/20,ALJAZ,18
8/17/20,ALJAZ,19.3333
8/18/20,ALJAZ,12.6667
8/19/20,ALJAZ,4
8/20/20,ALJAZ,5
8/21/20,ALJAZ,5.6667
8/22/20,ALJAZ,4.6667
8/23/20,ALJAZ,12
8/24/20,ALJAZ,16.3333
8/25/20,ALJAZ,16
8/26/20,ALJAZ,6.6667
8/27/20,ALJAZ,1.6667
8/28/20,ALJAZ,4.6667
8/29/20,ALJAZ,5
8/30/20,ALJAZ,6.6667
8/31/20,ALJAZ,5.6667
9/1/20,ALJAZ,6
9/2/20,ALJAZ,11.3333
9/3/20,ALJAZ,13.3333
9/4/20,ALJAZ,12.6667
9/5/20,ALJAZ,5.6667
9/6/20,ALJAZ,1.3333
9/7/20,ALJAZ,0.6667
9/8/20,ALJAZ,29.6667
9/9/20,ALJAZ,44.6667
9/10/20,ALJAZ,45.6667
9/11/20,ALJAZ,17
9/12/20,ALJAZ,3
9/13/20,ALJAZ,5
9/14/20,ALJAZ,5
9/15/20,ALJAZ,5
9/16/20,ALJAZ,14
9/17/20,ALJAZ,15.3333
9/18/20,ALJAZ,14.3333
9/19/20,ALJAZ,2
9/20/20,ALJAZ,4
9/21/20,ALJAZ,8.3333
9/22/20,ALJAZ,13.3333
9/23/20,ALJAZ,14.6667
9/24/20,ALJAZ,10.6667
9/25/20,ALJAZ,7
9/26/20,ALJAZ,9.6667
9/27/20,ALJAZ,10.3333
9/28/20,ALJAZ,9
9/29/20,ALJAZ,1.3333
9/30/20,ALJAZ,3.3333
10/1/20,ALJAZ,4.3333
10/2/20,ALJAZ,4.3333
10/3/20,ALJAZ,2
10/4/20,ALJAZ,2
10/5/20,ALJAZ,5
10/6/20,ALJAZ,5.3333
10/7/20,ALJAZ,5.3333
10/8/20,ALJAZ,13.6667
10/9/20,ALJAZ,17.6667
10/10/20,ALJAZ,23
10/11/20,ALJAZ,15
10/12/20,ALJAZ,10.3333
10/13/20,ALJAZ,5
10/14/20,ALJAZ,4.3333
10/15/20,ALJAZ,4.6667
10/16/20,ALJAZ,5.6667
10/17/20,ALJAZ,7.3333
10/18/20,ALJAZ,7
10/19/20,ALJAZ,8.3333
10/20/20,ALJAZ,5.6667
10/21/20,ALJAZ,5.3333
10/22/20,ALJAZ,4.3333
10/23/20,ALJAZ,10
10/24/20,ALJAZ,12.6667
10/25/20,ALJAZ,11
10/26/20,ALJAZ,3.3333
10/27/20,ALJAZ,0.6667
10/28/20,ALJAZ,0
10/29/20,ALJAZ,0
10/30/20,ALJAZ,1.3333
10/31/20,ALJAZ,2
11/1/20,ALJAZ,2.3333
11/2/20,ALJAZ,4.3333
11/3/20,ALJAZ,4.6667
11/4/20,ALJAZ,5
11/5/20,ALJAZ,2
11/6/20,ALJAZ,2
11/7/20,ALJAZ,2
11/8/20,ALJAZ,4
11/9/20,ALJAZ,5.3333
11/10/20,ALJAZ,6
11/11/20,ALJAZ,5
11/12/20,ALJAZ,13.3333
11/13/20,ALJAZ,15.3333
11/14/20,ALJAZ,15
11/15/20,ALJAZ,6
11/16/20,ALJAZ,4.3333
11/17/20,ALJAZ,4
11/18/20,ALJAZ,3
