Date,Series,Value
11/17/21,ALJAZEERA,0.2732
11/18/21,ALJAZEERA,0.5096
11/19/21,ALJAZEERA,0.1958
11/20/21,ALJAZEERA,0
11/21/21,ALJAZEERA,0
11/22/21,ALJAZEERA,0.3893
11/23/21,ALJAZEERA,0.1754
11/24/21,ALJAZEERA,0.0587
11/25/21,ALJAZEERA,0.0983
11/26/21,ALJAZEERA,0.6651
11/27/21,ALJAZEERA,1.655
11/28/21,ALJAZEERA,2.0151
11/29/21,ALJAZEERA,2.1094
11/30/21,ALJAZEERA,3.7975
12/1/21,ALJAZEERA,3.6374
12/2/21,ALJAZEERA,4.0987
12/3/21,ALJAZEERA,2.9092
12/4/21,ALJAZEERA,3.695
12/5/21,ALJAZEERA,3.4984
12/6/21,ALJAZEERA,1.1026
12/7/21,ALJAZEERA,5.509
12/8/21,ALJAZEERA,5.7754
12/9/21,ALJAZEERA,5.7715
12/10/21,ALJAZEERA,2.337
12/11/21,ALJAZEERA,1.5662
12/12/21,ALJAZEERA,3.0156
12/13/21,ALJAZEERA,1.3401
12/14/21,ALJAZEERA,1.2353
12/15/21,ALJAZEERA,2.1843
12/16/21,ALJAZEERA,1.5588
12/17/21,ALJAZEERA,0.6713
12/18/21,ALJAZEERA,0.7228
12/19/21,ALJAZEERA,0.0196
12/20/21,ALJAZEERA,0.0195
12/21/21,ALJAZEERA,0.059
12/22/21,ALJAZEERA,0.7511
12/23/21,ALJAZEERA,2.8689
12/24/21,ALJAZEERA,0.5456
12/25/21,ALJAZEERA,0.2931
12/26/21,ALJAZEERA,0
12/27/21,ALJAZEERA,0
12/28/21,ALJAZEERA,0.236
12/29/21,ALJAZEERA,0.1385
12/30/21,ALJAZEERA,1.6604
12/31/21,ALJAZEERA,2.9248
1/1/22,ALJAZEERA,0.4167
1/2/22,ALJAZEERA,1.3641
1/3/22,ALJAZEERA,1.7959
1/4/22,ALJAZEERA,0
1/5/22,ALJAZEERA,0.6037
1/6/22,ALJAZEERA,0.7461
1/7/22,ALJAZEERA,0.7592
1/8/22,ALJAZEERA,0.1839
1/9/22,ALJAZEERA,0.7056
1/10/22,ALJAZEERA,5
1/11/22,ALJAZEERA,3.1336
1/12/22,ALJAZEERA,3.7234
1/13/22,ALJAZEERA,2.1731
1/14/22,ALJAZEERA,4.5631
1/15/22,ALJAZEERA,4.9103
1/16/22,ALJAZEERA,1.4852
1/17/22,ALJAZEERA,2.9435
1/18/22,ALJAZEERA,3.3875
1/19/22,ALJAZEERA,7.5014
1/20/22,ALJAZEERA,7.7009
1/21/22,ALJAZEERA,8.0642
1/22/22,ALJAZEERA,5.8243
1/23/22,ALJAZEERA,6.9562
1/24/22,ALJAZEERA,5.6115
1/25/22,ALJAZEERA,4.7405
1/26/22,ALJAZEERA,6.752
1/27/22,ALJAZEERA,7.2741
1/28/22,ALJAZEERA,8.1113
1/29/22,ALJAZEERA,6.2959
1/30/22,ALJAZEERA,3.6543
1/31/22,ALJAZEERA,8.1301
2/1/22,ALJAZEERA,8.0247
2/2/22,ALJAZEERA,6.1903
2/3/22,ALJAZEERA,4.6004
2/4/22,ALJAZEERA,4.5065
2/5/22,ALJAZEERA,2.1249
2/6/22,ALJAZEERA,7.811
2/7/22,ALJAZEERA,8.8836
2/8/22,ALJAZEERA,7.0137
2/9/22,ALJAZEERA,4.895
2/10/22,ALJAZEERA,6.2218
2/11/22,ALJAZEERA,9.1763
2/12/22,ALJAZEERA,7.9228
2/13/22,ALJAZEERA,8.6393
2/14/22,ALJAZEERA,11.7532
2/15/22,ALJAZEERA,10.4615
2/16/22,ALJAZEERA,9.1648
2/17/22,ALJAZEERA,10.8183
2/18/22,ALJAZEERA,10.8979
2/19/22,ALJAZEERA,12.1074
2/20/22,ALJAZEERA,9.329
2/21/22,ALJAZEERA,14.1711
2/22/22,ALJAZEERA,18.5172
2/23/22,ALJAZEERA,17.0736
2/24/22,ALJAZEERA,24.2066
2/25/22,ALJAZEERA,24.4188
2/26/22,ALJAZEERA,21.646
2/27/22,ALJAZEERA,19.9395
2/28/22,ALJAZEERA,22.4519
3/1/22,ALJAZEERA,21.8189
3/2/22,ALJAZEERA,19.2624
3/3/22,ALJAZEERA,16.4711
3/4/22,ALJAZEERA,19.832
3/5/22,ALJAZEERA,18.5839
3/6/22,ALJAZEERA,18.0671
3/7/22,ALJAZEERA,18.2744
3/8/22,ALJAZEERA,15.975
3/9/22,ALJAZEERA,14.6758
3/10/22,ALJAZEERA,15.1356
3/11/22,ALJAZEERA,19.4619
3/12/22,ALJAZEERA,17.1045
3/13/22,ALJAZEERA,17.0603
3/14/22,ALJAZEERA,15.7044
3/15/22,ALJAZEERA,14.1016
3/16/22,ALJAZEERA,18.7221
3/17/22,ALJAZEERA,14.2307
3/18/22,ALJAZEERA,16.8706
3/19/22,ALJAZEERA,18.2427
3/20/22,ALJAZEERA,16.691
3/21/22,ALJAZEERA,12.6794
3/22/22,ALJAZEERA,11.234
3/23/22,ALJAZEERA,10.4353
3/24/22,ALJAZEERA,12.8345
3/25/22,ALJAZEERA,15.496
3/26/22,ALJAZEERA,15.2955
3/27/22,ALJAZEERA,12.3923
3/28/22,ALJAZEERA,12.6087
3/29/22,ALJAZEERA,12.6453
