Date,Series,Value
2020-01-03,Volume Intensity,0.5617
2020-01-04,Volume Intensity,0.5211
2020-01-05,Volume Intensity,0.4815
2020-01-06,Volume Intensity,0.4272
2020-01-07,Volume Intensity,0.433
2020-01-08,Volume Intensity,0.8717
2020-01-09,Volume Intensity,1.2103
2020-01-10,Volume Intensity,1.6684
2020-01-11,Volume Intensity,1.8504
2020-01-12,Volume Intensity,1.9727
2020-01-13,Volume Intensity,1.7476
2020-01-14,Volume Intensity,1.46
2020-01-15,Volume Intensity,1.3244
2020-01-16,Volume Intensity,1.5266
2020-01-17,Volume Intensity,1.5462
2020-01-18,Volume Intensity,1.4363
2020-01-19,Volume Intensity,1.2704
2020-01-20,Volume Intensity,1.0948
2020-01-21,Volume Intensity,1.1751
2020-01-22,Volume Intensity,1.1912
2020-01-23,Volume Intensity,1.3409
2020-01-24,Volume Intensity,1.2848
2020-01-25,Volume Intensity,1.5462
2020-01-26,Volume Intensity,1.4593
2020-01-27,Volume Intensity,1.5606
2020-01-28,Volume Intensity,1.2899
2020-01-29,Volume Intensity,1.3633
2020-01-30,Volume Intensity,1.2436
2020-01-31,Volume Intensity,1.2073
2020-02-01,Volume Intensity,1.1454
2020-02-02,Volume Intensity,0.9662
2020-02-03,Volume Intensity,0.8635
2020-02-04,Volume Intensity,0.7299
2020-02-05,Volume Intensity,0.9649
2020-02-06,Volume Intensity,1.0962
2020-02-07,Volume Intensity,1.0924
2020-02-08,Volume Intensity,1.0014
2020-02-09,Volume Intensity,0.7668
2020-02-10,Volume Intensity,0.7234
2020-02-11,Volume Intensity,0.5018
2020-02-12,Volume Intensity,0.4342
2020-02-13,Volume Intensity,0.4497
2020-02-14,Volume Intensity,0.4959
2020-02-15,Volume Intensity,0.5523
2020-02-16,Volume Intensity,0.4702
2020-02-17,Volume Intensity,0.3752
2020-02-18,Volume Intensity,0.3317
2020-02-19,Volume Intensity,0.3542
2020-02-20,Volume Intensity,0.4042
2020-02-21,Volume Intensity,0.4896
2020-02-22,Volume Intensity,0.5073
2020-02-23,Volume Intensity,0.4664
2020-02-24,Volume Intensity,0.3201
2020-02-25,Volume Intensity,0.2487
2020-02-26,Volume Intensity,0.2266
2020-02-27,Volume Intensity,0.2122
2020-02-28,Volume Intensity,0.2094
2020-02-29,Volume Intensity,0.2377
2020-03-01,Volume Intensity,0.256
2020-03-02,Volume Intensity,0.2482
2020-03-03,Volume Intensity,0.287
2020-03-04,Volume Intensity,0.3223
2020-03-05,Volume Intensity,0.362
2020-03-06,Volume Intensity,0.3205
2020-03-07,Volume Intensity,0.3509
2020-03-08,Volume Intensity,0.3599
2020-03-09,Volume Intensity,0.362
2020-03-10,Volume Intensity,0.3098
2020-03-11,Volume Intensity,0.304
2020-03-12,Volume Intensity,0.2939
2020-03-13,Volume Intensity,0.2766
2020-03-14,Volume Intensity,0.238
2020-03-15,Volume Intensity,0.2459
2020-03-16,Volume Intensity,0.2369
2020-03-17,Volume Intensity,0.2509
2020-03-18,Volume Intensity,0.2084
2020-03-19,Volume Intensity,0.195
2020-03-20,Volume Intensity,0.1762
2020-03-21,Volume Intensity,0.1692
2020-03-22,Volume Intensity,0.1669
2020-03-23,Volume Intensity,0.1757
2020-03-24,Volume Intensity,0.1649
2020-03-25,Volume Intensity,0.1651
2020-03-26,Volume Intensity,0.1541
2020-03-27,Volume Intensity,0.1633
2020-03-28,Volume Intensity,0.1609
2020-03-29,Volume Intensity,0.1426
2020-03-30,Volume Intensity,0.1469
2020-03-31,Volume Intensity,0.1464
2020-04-01,Volume Intensity,0.1657
2020-04-02,Volume Intensity,0.1862
2020-04-03,Volume Intensity,0.2359
2020-04-04,Volume Intensity,0.3325
2020-04-05,Volume Intensity,0.3722
2020-04-06,Volume Intensity,0.3794
2020-04-07,Volume Intensity,0.3079
2020-04-08,Volume Intensity,0.2797
2020-04-09,Volume Intensity,0.2365
2020-04-10,Volume Intensity,0.1983
2020-04-11,Volume Intensity,0.1554
2020-04-12,Volume Intensity,0.1367
2020-04-13,Volume Intensity,0.1462
2020-04-14,Volume Intensity,0.2119
2020-04-15,Volume Intensity,0.2285
2020-04-16,Volume Intensity,0.249
2020-04-17,Volume Intensity,0.2096
2020-04-18,Volume Intensity,0.2306
2020-04-19,Volume Intensity,0.2242
2020-04-20,Volume Intensity,0.2039
2020-04-21,Volume Intensity,0.1676
2020-04-22,Volume Intensity,0.1526
2020-04-23,Volume Intensity,0.1721
2020-04-24,Volume Intensity,0.1818
2020-04-25,Volume Intensity,0.1883
2020-04-26,Volume Intensity,0.1847
2020-04-27,Volume Intensity,0.1813
2020-04-28,Volume Intensity,0.1639
2020-04-29,Volume Intensity,0.1591
2020-04-30,Volume Intensity,0.1902
2020-05-01,Volume Intensity,0.2061
2020-05-02,Volume Intensity,0.1949
2020-05-03,Volume Intensity,0.1593
2020-05-04,Volume Intensity,0.144
2020-05-05,Volume Intensity,0.1642
2020-05-06,Volume Intensity,0.1805
2020-05-07,Volume Intensity,0.196
2020-05-08,Volume Intensity,0.1882
2020-05-09,Volume Intensity,0.1878
2020-05-10,Volume Intensity,0.1659
2020-05-11,Volume Intensity,0.1763
2020-05-12,Volume Intensity,0.1692
2020-05-13,Volume Intensity,0.187
2020-05-14,Volume Intensity,0.1631
2020-05-15,Volume Intensity,0.1771
2020-05-16,Volume Intensity,0.2098
2020-05-17,Volume Intensity,0.2831
2020-05-18,Volume Intensity,0.3131
2020-05-19,Volume Intensity,0.2822
2020-05-20,Volume Intensity,0.2819
2020-05-21,Volume Intensity,0.2735
2020-05-22,Volume Intensity,0.2688
2020-05-23,Volume Intensity,0.2045
2020-05-24,Volume Intensity,0.16
2020-05-25,Volume Intensity,0.1649
2020-05-26,Volume Intensity,0.1607
2020-05-27,Volume Intensity,0.1647
2020-05-28,Volume Intensity,0.1577
2020-05-29,Volume Intensity,0.1679
2020-05-30,Volume Intensity,0.1658
2020-05-31,Volume Intensity,0.1743
2020-06-01,Volume Intensity,0.1851
2020-06-02,Volume Intensity,0.204
2020-06-03,Volume Intensity,0.2098
2020-06-04,Volume Intensity,0.1993
2020-06-05,Volume Intensity,0.1845
2020-06-06,Volume Intensity,0.1543
2020-06-07,Volume Intensity,0.1234
2020-06-08,Volume Intensity,0.1238
2020-06-09,Volume Intensity,0.1538
2020-06-10,Volume Intensity,0.1944
2020-06-11,Volume Intensity,0.1994
2020-06-12,Volume Intensity,0.2121
2020-06-13,Volume Intensity,0.2244
2020-06-14,Volume Intensity,0.2352
2020-06-15,Volume Intensity,0.217
2020-06-16,Volume Intensity,0.2349
2020-06-17,Volume Intensity,0.2888
2020-06-18,Volume Intensity,0.379
2020-06-19,Volume Intensity,0.3684
2020-06-20,Volume Intensity,0.4708
2020-06-21,Volume Intensity,0.4154
2020-06-22,Volume Intensity,0.4303
2020-06-23,Volume Intensity,0.2679
2020-06-24,Volume Intensity,0.2163
2020-06-25,Volume Intensity,0.1643
2020-06-26,Volume Intensity,0.1815
2020-06-27,Volume Intensity,0.1792
2020-06-28,Volume Intensity,0.2043
2020-06-29,Volume Intensity,0.2048
2020-06-30,Volume Intensity,0.2158
2020-07-01,Volume Intensity,0.2348
2020-07-02,Volume Intensity,0.2459
2020-07-03,Volume Intensity,0.2621
2020-07-04,Volume Intensity,0.2099
2020-07-05,Volume Intensity,0.1479
2020-07-06,Volume Intensity,0.1264
2020-07-07,Volume Intensity,0.135
2020-07-08,Volume Intensity,0.1907
2020-07-09,Volume Intensity,0.2081
2020-07-10,Volume Intensity,0.2522
2020-07-11,Volume Intensity,0.2196
2020-07-12,Volume Intensity,0.2886
2020-07-13,Volume Intensity,0.2477
2020-07-14,Volume Intensity,0.2633
2020-07-15,Volume Intensity,0.1859
2020-07-16,Volume Intensity,0.171
2020-07-17,Volume Intensity,0.1581
2020-07-18,Volume Intensity,0.1517
2020-07-19,Volume Intensity,0.1427
2020-07-20,Volume Intensity,0.1482
2020-07-21,Volume Intensity,0.2275
2020-07-22,Volume Intensity,0.2689
2020-07-23,Volume Intensity,0.2757
2020-07-24,Volume Intensity,0.2105
2020-07-25,Volume Intensity,0.1956
2020-07-26,Volume Intensity,0.1806
2020-07-27,Volume Intensity,0.1658
2020-07-28,Volume Intensity,0.1629
2020-07-29,Volume Intensity,0.2046
2020-07-30,Volume Intensity,0.22
2020-07-31,Volume Intensity,0.2545
2020-08-01,Volume Intensity,0.2517
2020-08-02,Volume Intensity,0.2146
2020-08-03,Volume Intensity,0.1812
2020-08-04,Volume Intensity,0.1428
2020-08-05,Volume Intensity,0.1786
2020-08-06,Volume Intensity,0.1861
2020-08-07,Volume Intensity,0.2325
2020-08-08,Volume Intensity,0.3114
2020-08-09,Volume Intensity,0.3112
2020-08-10,Volume Intensity,0.3046
2020-08-11,Volume Intensity,0.2176
2020-08-12,Volume Intensity,0.1927
2020-08-13,Volume Intensity,0.1591
2020-08-14,Volume Intensity,0.1683
2020-08-15,Volume Intensity,0.1774
2020-08-16,Volume Intensity,0.1914
2020-08-17,Volume Intensity,0.1928
2020-08-18,Volume Intensity,0.2195
2020-08-19,Volume Intensity,0.2353
2020-08-20,Volume Intensity,0.2321
2020-08-21,Volume Intensity,0.2322
2020-08-22,Volume Intensity,0.2183
2020-08-23,Volume Intensity,0.3502
2020-08-24,Volume Intensity,0.3577
2020-08-25,Volume Intensity,0.3448
2020-08-26,Volume Intensity,0.2461
2020-08-27,Volume Intensity,0.2477
2020-08-28,Volume Intensity,0.2763
2020-08-29,Volume Intensity,0.2208
2020-08-30,Volume Intensity,0.2138
2020-08-31,Volume Intensity,0.1872
2020-09-01,Volume Intensity,0.2066
2020-09-02,Volume Intensity,0.1989
2020-09-03,Volume Intensity,0.198
2020-09-04,Volume Intensity,0.1999
2020-09-05,Volume Intensity,0.2037
2020-09-06,Volume Intensity,0.234
2020-09-07,Volume Intensity,0.2401
2020-09-08,Volume Intensity,0.2628
2020-09-09,Volume Intensity,0.2749
2020-09-10,Volume Intensity,0.304
2020-09-11,Volume Intensity,0.2853
2020-09-12,Volume Intensity,0.2818
2020-09-13,Volume Intensity,0.2589
2020-09-14,Volume Intensity,0.2381
2020-09-15,Volume Intensity,0.2043
2020-09-16,Volume Intensity,0.2193
2020-09-17,Volume Intensity,0.2404
2020-09-18,Volume Intensity,0.2511
2020-09-19,Volume Intensity,0.2521
2020-09-20,Volume Intensity,0.2454
2020-09-21,Volume Intensity,0.255
2020-09-22,Volume Intensity,0.2317
2020-09-23,Volume Intensity,0.271
2020-09-24,Volume Intensity,0.2921
2020-09-25,Volume Intensity,0.3057
2020-09-26,Volume Intensity,0.3297
2020-09-27,Volume Intensity,0.2686
2020-09-28,Volume Intensity,0.2694
2020-09-29,Volume Intensity,0.2236
2020-09-30,Volume Intensity,0.266
2020-10-01,Volume Intensity,0.2699
2020-10-02,Volume Intensity,0.2616
2020-10-03,Volume Intensity,0.2105
2020-10-04,Volume Intensity,0.191
2020-10-05,Volume Intensity,0.1594
2020-10-06,Volume Intensity,0.1679
2020-10-07,Volume Intensity,0.16
2020-10-08,Volume Intensity,0.1917
2020-10-09,Volume Intensity,0.2057
2020-10-10,Volume Intensity,0.2147
2020-10-11,Volume Intensity,0.1824
2020-10-12,Volume Intensity,0.1725
2020-10-13,Volume Intensity,0.1582
2020-10-14,Volume Intensity,0.1749
2020-10-15,Volume Intensity,0.2241
2020-10-16,Volume Intensity,0.2677
2020-10-17,Volume Intensity,0.3239
2020-10-18,Volume Intensity,0.3605
2020-10-19,Volume Intensity,0.3514
2020-10-21,Volume Intensity,0.3591
2020-10-22,Volume Intensity,0.3337
2020-10-23,Volume Intensity,0.4673
2020-10-24,Volume Intensity,0.4129
2020-10-25,Volume Intensity,0.3928
2020-10-26,Volume Intensity,0.2643
2020-10-27,Volume Intensity,0.2488
2020-10-28,Volume Intensity,0.234
2020-10-29,Volume Intensity,0.1897
2020-10-30,Volume Intensity,0.1973
2020-10-31,Volume Intensity,0.2321
2020-11-01,Volume Intensity,0.2368
2020-11-02,Volume Intensity,0.2215
2020-11-03,Volume Intensity,0.168
2020-11-04,Volume Intensity,0.1636
2020-11-05,Volume Intensity,0.1726
2020-11-06,Volume Intensity,0.1836
2020-11-07,Volume Intensity,0.1666
2020-11-08,Volume Intensity,0.1967
2020-11-09,Volume Intensity,0.2013
2020-11-10,Volume Intensity,0.2247
2020-11-11,Volume Intensity,0.1855
2020-11-12,Volume Intensity,0.1679
2020-11-13,Volume Intensity,0.1548
2020-11-14,Volume Intensity,0.1422
2020-11-15,Volume Intensity,0.1513
2020-11-16,Volume Intensity,0.168
2020-11-17,Volume Intensity,0.1717
2020-11-18,Volume Intensity,0.1616
2020-11-19,Volume Intensity,0.1486
2020-11-20,Volume Intensity,0.1723
2020-11-21,Volume Intensity,0.164
2020-11-22,Volume Intensity,0.152
2020-11-23,Volume Intensity,0.1378
2020-11-24,Volume Intensity,0.1321
2020-11-25,Volume Intensity,0.1556
2020-11-26,Volume Intensity,0.1491
2020-11-27,Volume Intensity,0.1646
2020-11-28,Volume Intensity,0.1486
