Date,Word,% Monitored Articles
11/12/20,Nazi/Nazis,0.0142
11/13/20,Nazi/Nazis,0.0176
11/14/20,Nazi/Nazis,0
11/15/20,Nazi/Nazis,0.1163
11/16/20,Nazi/Nazis,0.0163
11/17/20,Nazi/Nazis,0.0263
11/18/20,Nazi/Nazis,0.0192
11/19/20,Nazi/Nazis,0.0132
11/20/20,Nazi/Nazis,0.0262
11/21/20,Nazi/Nazis,0.0201
11/22/20,Nazi/Nazis,0.0178
11/23/20,Nazi/Nazis,0.0185
11/24/20,Nazi/Nazis,0.0209
11/25/20,Nazi/Nazis,0.0177
11/26/20,Nazi/Nazis,0.0224
11/27/20,Nazi/Nazis,0.0382
11/28/20,Nazi/Nazis,0.0203
11/29/20,Nazi/Nazis,0.0199
11/30/20,Nazi/Nazis,0.0198
12/1/20,Nazi/Nazis,0.0204
12/2/20,Nazi/Nazis,0.0429
12/3/20,Nazi/Nazis,0.0205
12/4/20,Nazi/Nazis,0.0193
12/5/20,Nazi/Nazis,0.0241
12/6/20,Nazi/Nazis,0.0159
12/7/20,Nazi/Nazis,0.0158
12/8/20,Nazi/Nazis,0.0182
12/9/20,Nazi/Nazis,0.0115
12/10/20,Nazi/Nazis,0.0089
12/11/20,Nazi/Nazis,0.0111
12/12/20,Nazi/Nazis,0.0097
12/13/20,Nazi/Nazis,0.0136
12/14/20,Nazi/Nazis,0.0126
12/15/20,Nazi/Nazis,0.0099
12/16/20,Nazi/Nazis,0.0181
12/17/20,Nazi/Nazis,0.0187
12/18/20,Nazi/Nazis,0.0193
12/19/20,Nazi/Nazis,0.0134
12/20/20,Nazi/Nazis,0.0174
12/21/20,Nazi/Nazis,0.0092
12/22/20,Nazi/Nazis,0.0087
12/23/20,Nazi/Nazis,0.0144
12/24/20,Nazi/Nazis,0.0118
12/25/20,Nazi/Nazis,0.0151
12/26/20,Nazi/Nazis,0.0113
12/27/20,Nazi/Nazis,0.0294
12/28/20,Nazi/Nazis,0.0197
12/29/20,Nazi/Nazis,0.0239
12/30/20,Nazi/Nazis,0.0149
12/31/20,Nazi/Nazis,0.018
1/1/21,Nazi/Nazis,0.0376
1/2/21,Nazi/Nazis,0.0298
1/3/21,Nazi/Nazis,0.0151
1/4/21,Nazi/Nazis,0.02
1/5/21,Nazi/Nazis,0.0116
1/6/21,Nazi/Nazis,0.0315
