Date,Series,Value
1/3/20,CNBC,1.3333
1/4/20,CNBC,1.3333
1/5/20,CNBC,1
1/6/20,CNBC,0
1/7/20,CNBC,0.6667
1/8/20,CNBC,10.6667
1/9/20,CNBC,15.6667
1/10/20,CNBC,19
1/11/20,CNBC,9
1/12/20,CNBC,4
1/13/20,CNBC,3.3333
1/14/20,CNBC,4.3333
1/15/20,CNBC,6
1/16/20,CNBC,4.6667
1/17/20,CNBC,5.6667
1/18/20,CNBC,4
1/19/20,CNBC,2
1/20/20,CNBC,1.3333
1/21/20,CNBC,2.3333
1/22/20,CNBC,4
1/23/20,CNBC,3.3333
1/24/20,CNBC,3
1/25/20,CNBC,1.3333
1/26/20,CNBC,0.6667
1/27/20,CNBC,1.6667
1/28/20,CNBC,2
1/29/20,CNBC,2.3333
1/30/20,CNBC,0.6667
1/31/20,CNBC,1
2/1/20,CNBC,0.6667
2/2/20,CNBC,0.6667
2/3/20,CNBC,0.3333
2/4/20,CNBC,0.3333
2/5/20,CNBC,0.3333
2/6/20,CNBC,0.3333
2/7/20,CNBC,0.3333
2/8/20,CNBC,0.3333
2/9/20,CNBC,0
2/10/20,CNBC,0
2/11/20,CNBC,0
2/12/20,CNBC,0
2/13/20,CNBC,0
2/14/20,CNBC,1
2/15/20,CNBC,1
2/16/20,CNBC,1
2/17/20,CNBC,0
2/18/20,CNBC,0
2/19/20,CNBC,1
2/20/20,CNBC,1
2/21/20,CNBC,1
2/22/20,CNBC,0
2/23/20,CNBC,0
2/24/20,CNBC,0
2/25/20,CNBC,0
2/26/20,CNBC,0
2/27/20,CNBC,0
2/28/20,CNBC,0
2/29/20,CNBC,0
3/1/20,CNBC,0
3/2/20,CNBC,0
3/3/20,CNBC,0
3/4/20,CNBC,0.3333
3/5/20,CNBC,0.3333
3/6/20,CNBC,0.3333
3/7/20,CNBC,0
3/8/20,CNBC,0
3/9/20,CNBC,0
3/10/20,CNBC,0
3/11/20,CNBC,0
3/12/20,CNBC,0
3/13/20,CNBC,0
3/14/20,CNBC,0
3/15/20,CNBC,0
3/16/20,CNBC,0.6667
3/17/20,CNBC,0.6667
3/18/20,CNBC,0.6667
3/19/20,CNBC,0
3/20/20,CNBC,0
3/21/20,CNBC,0
3/22/20,CNBC,0
3/23/20,CNBC,0
3/24/20,CNBC,0
3/25/20,CNBC,0
3/26/20,CNBC,0
3/27/20,CNBC,0
3/28/20,CNBC,0
3/29/20,CNBC,0
3/30/20,CNBC,0
3/31/20,CNBC,0.3333
4/1/20,CNBC,0.3333
4/2/20,CNBC,0.3333
4/3/20,CNBC,0
4/4/20,CNBC,0
4/5/20,CNBC,0
4/6/20,CNBC,0
4/7/20,CNBC,0
4/8/20,CNBC,0.3333
4/9/20,CNBC,0.3333
4/10/20,CNBC,0.3333
4/11/20,CNBC,0
