Date,Series,Value
1/3/20,MSNBC,48.6667
1/4/20,MSNBC,41.6667
1/5/20,MSNBC,33
1/6/20,MSNBC,36
1/7/20,MSNBC,50.3333
1/8/20,MSNBC,50.3333
1/9/20,MSNBC,55.6667
1/10/20,MSNBC,71.3333
1/11/20,MSNBC,95
1/12/20,MSNBC,90.6667
1/13/20,MSNBC,58
1/14/20,MSNBC,82
1/15/20,MSNBC,135.3333
1/16/20,MSNBC,262.6667
1/17/20,MSNBC,308.6667
1/18/20,MSNBC,298.6667
1/19/20,MSNBC,211.3333
1/20/20,MSNBC,160.3333
1/21/20,MSNBC,174
1/22/20,MSNBC,312.6667
1/23/20,MSNBC,450.3333
1/24/20,MSNBC,515.3333
1/25/20,MSNBC,449.6667
1/26/20,MSNBC,337
1/27/20,MSNBC,291.3333
1/28/20,MSNBC,223.3333
1/29/20,MSNBC,232
1/30/20,MSNBC,205
1/31/20,MSNBC,216.3333
2/1/20,MSNBC,167
2/2/20,MSNBC,116.3333
2/3/20,MSNBC,87.3333
2/4/20,MSNBC,55.6667
2/5/20,MSNBC,47.6667
2/6/20,MSNBC,30
2/7/20,MSNBC,54
2/8/20,MSNBC,61.6667
2/9/20,MSNBC,53.6667
2/10/20,MSNBC,34.6667
2/11/20,MSNBC,31
2/12/20,MSNBC,24.6667
2/13/20,MSNBC,32.6667
2/14/20,MSNBC,34
2/15/20,MSNBC,45.6667
2/16/20,MSNBC,35.6667
2/17/20,MSNBC,31.3333
2/18/20,MSNBC,33.3333
2/19/20,MSNBC,37.6667
2/20/20,MSNBC,29.3333
2/21/20,MSNBC,21.3333
2/22/20,MSNBC,15.3333
2/23/20,MSNBC,13.3333
2/24/20,MSNBC,6
2/25/20,MSNBC,3.3333
2/26/20,MSNBC,2.3333
2/27/20,MSNBC,1
2/28/20,MSNBC,0.3333
2/29/20,MSNBC,1
3/1/20,MSNBC,1.3333
3/2/20,MSNBC,1
3/3/20,MSNBC,2
3/4/20,MSNBC,3.3333
3/5/20,MSNBC,8.6667
3/6/20,MSNBC,15.3333
3/7/20,MSNBC,20.6667
3/8/20,MSNBC,22
3/9/20,MSNBC,18
3/10/20,MSNBC,13.3333
3/11/20,MSNBC,7.6667
3/12/20,MSNBC,4
3/13/20,MSNBC,2.3333
3/14/20,MSNBC,1.3333
3/15/20,MSNBC,0.6667
3/16/20,MSNBC,0
3/17/20,MSNBC,0
3/18/20,MSNBC,0
3/19/20,MSNBC,0
3/20/20,MSNBC,0
3/21/20,MSNBC,0
3/22/20,MSNBC,0
3/23/20,MSNBC,0
3/24/20,MSNBC,0
3/25/20,MSNBC,0.3333
3/26/20,MSNBC,1.3333
3/27/20,MSNBC,1.3333
3/28/20,MSNBC,1
3/29/20,MSNBC,0.3333
3/30/20,MSNBC,0.3333
3/31/20,MSNBC,1
4/1/20,MSNBC,1.3333
4/2/20,MSNBC,1.3333
4/3/20,MSNBC,0.6667
4/4/20,MSNBC,8
4/5/20,MSNBC,11.3333
4/6/20,MSNBC,15
4/7/20,MSNBC,9.3333
4/8/20,MSNBC,8
4/9/20,MSNBC,5
4/10/20,MSNBC,4
4/11/20,MSNBC,2
4/12/20,MSNBC,1.3333
4/13/20,MSNBC,0.6667
4/14/20,MSNBC,0.6667
4/15/20,MSNBC,1
4/16/20,MSNBC,3
4/17/20,MSNBC,3
4/18/20,MSNBC,2.6667
4/19/20,MSNBC,1
4/20/20,MSNBC,1.3333
4/21/20,MSNBC,2
4/22/20,MSNBC,2
4/23/20,MSNBC,1.6667
4/24/20,MSNBC,1
4/25/20,MSNBC,1
4/26/20,MSNBC,1.3333
4/27/20,MSNBC,2.6667
4/28/20,MSNBC,2.3333
4/29/20,MSNBC,3
4/30/20,MSNBC,2
5/1/20,MSNBC,1.3333
5/2/20,MSNBC,0.3333
5/3/20,MSNBC,0
5/4/20,MSNBC,1
5/5/20,MSNBC,2
5/6/20,MSNBC,6.6667
5/7/20,MSNBC,6
5/8/20,MSNBC,7
5/9/20,MSNBC,2.6667
5/10/20,MSNBC,2.6667
5/11/20,MSNBC,1.3333
5/12/20,MSNBC,1.3333
5/13/20,MSNBC,2.3333
5/14/20,MSNBC,1.6667
5/15/20,MSNBC,1.6667
5/16/20,MSNBC,0.6667
5/17/20,MSNBC,1
5/18/20,MSNBC,2.6667
5/19/20,MSNBC,2.6667
5/20/20,MSNBC,3.3333
5/21/20,MSNBC,2
5/22/20,MSNBC,3
5/23/20,MSNBC,3
5/24/20,MSNBC,3.3333
5/25/20,MSNBC,2
5/26/20,MSNBC,1.6667
5/27/20,MSNBC,0.6667
5/28/20,MSNBC,0.6667
5/29/20,MSNBC,0.3333
5/30/20,MSNBC,0.3333
5/31/20,MSNBC,0.6667
6/1/20,MSNBC,0.3333
6/2/20,MSNBC,0.6667
6/3/20,MSNBC,0.3333
6/4/20,MSNBC,0.3333
6/5/20,MSNBC,0.6667
6/6/20,MSNBC,0.6667
6/7/20,MSNBC,0.6667
6/8/20,MSNBC,0
6/9/20,MSNBC,0
6/10/20,MSNBC,0.6667
6/11/20,MSNBC,2
6/12/20,MSNBC,2.6667
6/13/20,MSNBC,2
6/14/20,MSNBC,1
6/15/20,MSNBC,1
6/16/20,MSNBC,1.6667
6/17/20,MSNBC,7.3333
6/18/20,MSNBC,35
6/19/20,MSNBC,38.3333
6/20/20,MSNBC,35.3333
6/21/20,MSNBC,12.3333
6/22/20,MSNBC,12.3333
6/23/20,MSNBC,13.6667
6/24/20,MSNBC,8.3333
6/25/20,MSNBC,9.6667
6/26/20,MSNBC,6
6/27/20,MSNBC,6
6/28/20,MSNBC,1
6/29/20,MSNBC,1.6667
6/30/20,MSNBC,2.3333
7/1/20,MSNBC,4.6667
7/2/20,MSNBC,7.3333
7/3/20,MSNBC,14
7/4/20,MSNBC,11.3333
7/5/20,MSNBC,12
7/6/20,MSNBC,5.3333
7/7/20,MSNBC,5.3333
7/8/20,MSNBC,1
7/9/20,MSNBC,4
7/10/20,MSNBC,4
7/11/20,MSNBC,4.3333
7/12/20,MSNBC,2
7/13/20,MSNBC,3
7/14/20,MSNBC,3.3333
7/15/20,MSNBC,2.3333
7/16/20,MSNBC,1.6667
7/17/20,MSNBC,1
7/18/20,MSNBC,0.6667
7/19/20,MSNBC,0.6667
7/20/20,MSNBC,0.3333
7/21/20,MSNBC,3
7/22/20,MSNBC,6
7/23/20,MSNBC,11
7/24/20,MSNBC,8.3333
7/25/20,MSNBC,6
7/26/20,MSNBC,1.3333
7/27/20,MSNBC,3
7/28/20,MSNBC,5
7/29/20,MSNBC,5
7/30/20,MSNBC,5
7/31/20,MSNBC,2
8/1/20,MSNBC,3.6667
8/2/20,MSNBC,2.3333
8/3/20,MSNBC,2.6667
8/4/20,MSNBC,2.3333
8/5/20,MSNBC,3
8/6/20,MSNBC,3.3333
8/7/20,MSNBC,4.6667
8/8/20,MSNBC,13
8/9/20,MSNBC,18
8/10/20,MSNBC,17.6667
