Date,Series,Value
1/3/2020,ALJAZ,3
1/4/2020,ALJAZ,3.6667
1/5/2020,ALJAZ,2.3333
1/6/2020,ALJAZ,1.6667
1/7/2020,ALJAZ,4.3333
1/8/2020,ALJAZ,62
1/9/2020,ALJAZ,117.3333
1/10/2020,ALJAZ,167
1/11/2020,ALJAZ,181.6667
1/12/2020,ALJAZ,174
1/13/2020,ALJAZ,150.3333
1/14/2020,ALJAZ,103.6667
1/15/2020,ALJAZ,101.6667
1/16/2020,ALJAZ,119
1/17/2020,ALJAZ,139
1/18/2020,ALJAZ,112.3333
1/19/2020,ALJAZ,94.6667
1/20/2020,ALJAZ,73.3333
1/21/2020,ALJAZ,83.3333
1/22/2020,ALJAZ,128
1/23/2020,ALJAZ,125.6667
1/24/2020,ALJAZ,119
1/25/2020,ALJAZ,90.3333
1/26/2020,ALJAZ,93.3333
1/27/2020,ALJAZ,102.6667
1/28/2020,ALJAZ,80
1/29/2020,ALJAZ,81
1/30/2020,ALJAZ,71.3333
1/31/2020,ALJAZ,89.3333
2/1/2020,ALJAZ,84.6667
2/2/2020,ALJAZ,69.6667
2/3/2020,ALJAZ,58.6667
2/4/2020,ALJAZ,42.6667
2/5/2020,ALJAZ,45
2/6/2020,ALJAZ,23.6667
2/7/2020,ALJAZ,33.6667
2/8/2020,ALJAZ,57.3333
2/9/2020,ALJAZ,51.6667
2/10/2020,ALJAZ,39
2/11/2020,ALJAZ,6.6667
2/12/2020,ALJAZ,4
2/13/2020,ALJAZ,1.3333
2/14/2020,ALJAZ,1.3333
2/15/2020,ALJAZ,1.3333
2/16/2020,ALJAZ,1.3333
2/17/2020,ALJAZ,2
2/18/2020,ALJAZ,31
2/19/2020,ALJAZ,44
2/20/2020,ALJAZ,46
2/21/2020,ALJAZ,26.3333
2/22/2020,ALJAZ,18.3333
2/23/2020,ALJAZ,18.3333
2/24/2020,ALJAZ,10.6667
2/25/2020,ALJAZ,5.6667
2/26/2020,ALJAZ,2.3333
2/27/2020,ALJAZ,1.6667
2/28/2020,ALJAZ,4
2/29/2020,ALJAZ,5
3/1/2020,ALJAZ,3.3333
3/2/2020,ALJAZ,1
3/3/2020,ALJAZ,2.3333
3/4/2020,ALJAZ,4.3333
3/5/2020,ALJAZ,5.6667
3/6/2020,ALJAZ,4.6667
3/7/2020,ALJAZ,2.6667
3/8/2020,ALJAZ,12.3333
3/9/2020,ALJAZ,40.3333
3/10/2020,ALJAZ,44
3/11/2020,ALJAZ,36.6667
3/12/2020,ALJAZ,13.6667
3/13/2020,ALJAZ,13.6667
3/14/2020,ALJAZ,10.3333
3/15/2020,ALJAZ,5
3/16/2020,ALJAZ,2.3333
3/17/2020,ALJAZ,2
3/18/2020,ALJAZ,1
3/19/2020,ALJAZ,0
3/20/2020,ALJAZ,0
3/21/2020,ALJAZ,0.6667
3/22/2020,ALJAZ,2
3/23/2020,ALJAZ,2.3333
