Date,Series,Value
2021-11-17,ALJAZEERA,0.2732
2021-11-18,ALJAZEERA,0.5096
2021-11-19,ALJAZEERA,0.1958
2021-11-20,ALJAZEERA,0
2021-11-21,ALJAZEERA,0
2021-11-22,ALJAZEERA,0.3893
2021-11-23,ALJAZEERA,0.1754
2021-11-24,ALJAZEERA,0.0587
2021-11-25,ALJAZEERA,0.0983
2021-11-26,ALJAZEERA,0.6651
2021-11-27,ALJAZEERA,1.655
2021-11-28,ALJAZEERA,2.0151
2021-11-29,ALJAZEERA,2.1094
2021-11-30,ALJAZEERA,3.7975
2021-12-01,ALJAZEERA,3.6374
2021-12-02,ALJAZEERA,4.0987
2021-12-03,ALJAZEERA,2.9092
2021-12-04,ALJAZEERA,3.695
2021-12-05,ALJAZEERA,3.4984
2021-12-06,ALJAZEERA,1.1026
2021-12-07,ALJAZEERA,5.509
2021-12-08,ALJAZEERA,5.7754
2021-12-09,ALJAZEERA,5.7715
2021-12-10,ALJAZEERA,2.337
2021-12-11,ALJAZEERA,1.5662
2021-12-12,ALJAZEERA,3.0156
2021-12-13,ALJAZEERA,1.3401
2021-12-14,ALJAZEERA,1.2353
2021-12-15,ALJAZEERA,2.1843
2021-12-16,ALJAZEERA,1.5588
2021-12-17,ALJAZEERA,0.6713
2021-12-18,ALJAZEERA,0.7228
2021-12-19,ALJAZEERA,0.0196
2021-12-20,ALJAZEERA,0.0195
2021-12-21,ALJAZEERA,0.059
2021-12-22,ALJAZEERA,0.7511
2021-12-23,ALJAZEERA,2.8689
2021-12-24,ALJAZEERA,0.5456
2021-12-25,ALJAZEERA,0.2931
2021-12-26,ALJAZEERA,0
2021-12-27,ALJAZEERA,0
2021-12-28,ALJAZEERA,0.236
2021-12-29,ALJAZEERA,0.1385
2021-12-30,ALJAZEERA,1.6604
2021-12-31,ALJAZEERA,2.9248
2022-01-01,ALJAZEERA,0.4167
2022-01-02,ALJAZEERA,1.3641
2022-01-03,ALJAZEERA,1.7959
2022-01-04,ALJAZEERA,0
2022-01-05,ALJAZEERA,0.6037
2022-01-06,ALJAZEERA,0.7461
2022-01-07,ALJAZEERA,0.7592
2022-01-08,ALJAZEERA,0.1839
2022-01-09,ALJAZEERA,0.7056
2022-01-10,ALJAZEERA,5
2022-01-11,ALJAZEERA,3.1336
2022-01-12,ALJAZEERA,3.7234
2022-01-13,ALJAZEERA,2.1731
2022-01-14,ALJAZEERA,4.5631
2022-01-15,ALJAZEERA,4.9103
2022-01-16,ALJAZEERA,1.4852
2022-01-17,ALJAZEERA,2.9435
2022-01-18,ALJAZEERA,3.3875
2022-01-19,ALJAZEERA,7.5014
2022-01-20,ALJAZEERA,7.7009
2022-01-21,ALJAZEERA,8.0642
2022-01-22,ALJAZEERA,5.8243
2022-01-23,ALJAZEERA,6.9562
2022-01-24,ALJAZEERA,5.6115
2022-01-25,ALJAZEERA,4.7405
2022-01-26,ALJAZEERA,6.752
2022-01-27,ALJAZEERA,7.2741
2022-01-28,ALJAZEERA,8.1113
2022-01-29,ALJAZEERA,6.2959
2022-01-30,ALJAZEERA,3.6543
2022-01-31,ALJAZEERA,8.1301
2022-02-01,ALJAZEERA,8.0247
2022-02-02,ALJAZEERA,6.1903
2022-02-03,ALJAZEERA,4.6004
2022-02-04,ALJAZEERA,4.5065
2022-02-05,ALJAZEERA,2.1249
2022-02-06,ALJAZEERA,7.811
2022-02-07,ALJAZEERA,8.8836
2022-02-08,ALJAZEERA,7.0137
2022-02-09,ALJAZEERA,4.895
2022-02-10,ALJAZEERA,6.2218
2022-02-11,ALJAZEERA,9.1763
2022-02-12,ALJAZEERA,7.9228
2022-02-13,ALJAZEERA,8.6393
2022-02-14,ALJAZEERA,11.7532
2022-02-15,ALJAZEERA,10.4615
2022-02-16,ALJAZEERA,9.1648
2022-02-17,ALJAZEERA,10.8183
2022-02-18,ALJAZEERA,10.8979
2022-02-19,ALJAZEERA,12.1074
2022-02-20,ALJAZEERA,9.329
2022-02-21,ALJAZEERA,14.1711
2022-02-22,ALJAZEERA,18.5172
2022-02-23,ALJAZEERA,17.0736
2022-02-24,ALJAZEERA,24.2066
2022-02-25,ALJAZEERA,24.4188
2022-02-26,ALJAZEERA,21.646
2022-02-27,ALJAZEERA,19.9395
2022-02-28,ALJAZEERA,22.4519
2022-03-01,ALJAZEERA,21.8189
2022-03-02,ALJAZEERA,19.2624
2022-03-03,ALJAZEERA,16.4711
2022-03-04,ALJAZEERA,19.832
2022-03-05,ALJAZEERA,18.5839
2022-03-06,ALJAZEERA,18.0671
2022-03-07,ALJAZEERA,18.2744
2022-03-08,ALJAZEERA,15.975
2022-03-09,ALJAZEERA,14.6758
2022-03-10,ALJAZEERA,15.1356
2022-03-11,ALJAZEERA,19.4619
2022-03-12,ALJAZEERA,17.1045
2022-03-13,ALJAZEERA,17.0603
2022-03-14,ALJAZEERA,15.7044
2022-03-15,ALJAZEERA,14.1016
2022-03-16,ALJAZEERA,18.7221
2022-03-17,ALJAZEERA,14.2307
2022-03-18,ALJAZEERA,16.8706
2022-03-19,ALJAZEERA,18.2427
2022-03-20,ALJAZEERA,16.691
2022-03-21,ALJAZEERA,12.6794
2022-03-22,ALJAZEERA,11.234
2022-03-23,ALJAZEERA,10.4353
2022-03-24,ALJAZEERA,12.8345
2022-03-25,ALJAZEERA,15.496
2022-03-26,ALJAZEERA,15.2955
2022-03-27,ALJAZEERA,12.3923
2022-03-28,ALJAZEERA,12.6087
2022-03-29,ALJAZEERA,12.6453
2022-03-30,ALJAZEERA,12.383
2022-03-31,ALJAZEERA,8.4608
2022-04-01,ALJAZEERA,8.3202
2022-04-02,ALJAZEERA,8.1871
2022-04-03,ALJAZEERA,11.6564
2022-04-04,ALJAZEERA,10.2741
2022-04-05,ALJAZEERA,11.8818
2022-04-06,ALJAZEERA,10.8152
2022-04-07,ALJAZEERA,13.3144
2022-04-08,ALJAZEERA,11.5319
2022-04-09,ALJAZEERA,8.0197
2022-04-10,ALJAZEERA,5.6437
2022-04-11,ALJAZEERA,9.7594
2022-04-12,ALJAZEERA,11.3111
2022-04-13,ALJAZEERA,9.3079
2022-04-14,ALJAZEERA,7.5809
2022-04-15,ALJAZEERA,7.2865
2022-04-16,ALJAZEERA,8.1388
