Date,Series,Value
1/3/20,BBCNEWS,0
1/4/20,BBCNEWS,0
1/5/20,BBCNEWS,0.6667
1/6/20,BBCNEWS,0.6667
1/7/20,BBCNEWS,1.3333
1/8/20,BBCNEWS,53.6667
1/9/20,BBCNEWS,98.6667
1/10/20,BBCNEWS,154.3333
1/11/20,BBCNEWS,173.6667
1/12/20,BBCNEWS,161
1/13/20,BBCNEWS,119.3333
1/14/20,BBCNEWS,52
1/15/20,BBCNEWS,32.6667
1/16/20,BBCNEWS,48.6667
1/17/20,BBCNEWS,58.6667
1/18/20,BBCNEWS,58.6667
1/19/20,BBCNEWS,38.6667
1/20/20,BBCNEWS,38.3333
1/21/20,BBCNEWS,47.3333
1/22/20,BBCNEWS,67
1/23/20,BBCNEWS,64.6667
1/24/20,BBCNEWS,57.3333
1/25/20,BBCNEWS,48
1/26/20,BBCNEWS,37.6667
1/27/20,BBCNEWS,26.3333
1/28/20,BBCNEWS,13
1/29/20,BBCNEWS,15.3333
1/30/20,BBCNEWS,15.3333
1/31/20,BBCNEWS,17.3333
2/1/20,BBCNEWS,27
2/2/20,BBCNEWS,29
2/3/20,BBCNEWS,19.6667
2/4/20,BBCNEWS,5.6667
2/5/20,BBCNEWS,4.6667
2/6/20,BBCNEWS,10
2/7/20,BBCNEWS,10
2/8/20,BBCNEWS,13
2/9/20,BBCNEWS,8
2/10/20,BBCNEWS,9
2/11/20,BBCNEWS,1.6667
2/12/20,BBCNEWS,1
2/13/20,BBCNEWS,0
2/14/20,BBCNEWS,0
2/15/20,BBCNEWS,1
2/16/20,BBCNEWS,8.3333
2/17/20,BBCNEWS,8.3333
2/18/20,BBCNEWS,7.3333
2/19/20,BBCNEWS,1
2/20/20,BBCNEWS,2.6667
2/21/20,BBCNEWS,14.6667
2/22/20,BBCNEWS,15.3333
2/23/20,BBCNEWS,14.3333
2/24/20,BBCNEWS,3.3333
2/25/20,BBCNEWS,2
2/26/20,BBCNEWS,1.3333
2/27/20,BBCNEWS,0.3333
2/28/20,BBCNEWS,0.3333
2/29/20,BBCNEWS,0.3333
3/1/20,BBCNEWS,0.6667
3/2/20,BBCNEWS,0.6667
3/3/20,BBCNEWS,0.6667
3/4/20,BBCNEWS,1
3/5/20,BBCNEWS,0.6667
3/6/20,BBCNEWS,0.6667
3/7/20,BBCNEWS,0.3333
