Date,Series,Value
1/3/20,CNN,53
1/4/20,CNN,56.6667
1/5/20,CNN,41
1/6/20,CNN,35
1/7/20,CNN,30.6667
1/8/20,CNN,42
1/9/20,CNN,67
1/10/20,CNN,105.3333
1/11/20,CNN,154
1/12/20,CNN,131.3333
1/13/20,CNN,100
1/14/20,CNN,62.6667
1/15/20,CNN,104
1/16/20,CNN,202.6667
1/17/20,CNN,244.6667
1/18/20,CNN,257
1/19/20,CNN,165
1/20/20,CNN,123
1/21/20,CNN,124.3333
1/22/20,CNN,288
1/23/20,CNN,438.6667
1/24/20,CNN,510.6667
1/25/20,CNN,457.6667
1/26/20,CNN,366
1/27/20,CNN,294
1/28/20,CNN,213.6667
1/29/20,CNN,181.3333
1/30/20,CNN,186.6667
1/31/20,CNN,187.6667
2/1/20,CNN,166
2/2/20,CNN,108
2/3/20,CNN,80.6667
2/4/20,CNN,48.6667
2/5/20,CNN,44
2/6/20,CNN,23.6667
2/7/20,CNN,51
2/8/20,CNN,65.3333
2/9/20,CNN,58.6667
2/10/20,CNN,49
2/11/20,CNN,41
2/12/20,CNN,43.6667
2/13/20,CNN,40
2/14/20,CNN,37.6667
2/15/20,CNN,108.3333
2/16/20,CNN,102.3333
2/17/20,CNN,89
2/18/20,CNN,33.3333
2/19/20,CNN,35
2/20/20,CNN,36
2/21/20,CNN,25.6667
2/22/20,CNN,19.6667
2/23/20,CNN,19.6667
2/24/20,CNN,10.6667
2/25/20,CNN,9.6667
2/26/20,CNN,5.3333
2/27/20,CNN,4.6667
2/28/20,CNN,1
2/29/20,CNN,0.3333
3/1/20,CNN,0
3/2/20,CNN,0
3/3/20,CNN,0.6667
3/4/20,CNN,1
3/5/20,CNN,6.6667
3/6/20,CNN,8
3/7/20,CNN,14.6667
3/8/20,CNN,10
3/9/20,CNN,8.3333
3/10/20,CNN,1.3333
3/11/20,CNN,0.3333
3/12/20,CNN,0
3/13/20,CNN,0.6667
3/14/20,CNN,1.3333
3/15/20,CNN,1.3333
3/16/20,CNN,0.6667
3/17/20,CNN,0
3/18/20,CNN,0.3333
3/19/20,CNN,0.3333
3/20/20,CNN,0.3333
3/21/20,CNN,0
3/22/20,CNN,0
3/23/20,CNN,0
3/24/20,CNN,0
3/25/20,CNN,0
3/26/20,CNN,0
3/27/20,CNN,0.3333
3/28/20,CNN,0.3333
3/29/20,CNN,1
