Date,Series,Value
11/12/20,DW,0.244
11/13/20,DW,0.2901
11/14/20,DW,0.042
11/15/20,DW,0.1482
11/16/20,DW,0
11/17/20,DW,0.2037
11/18/20,DW,0.1849
11/19/20,DW,0.3046
11/20/20,DW,0.4489
11/21/20,DW,0
11/22/20,DW,0
11/23/20,DW,0.266
11/24/20,DW,0
11/25/20,DW,0
11/26/20,DW,0
11/27/20,DW,0.0413
11/28/20,DW,0.0207
11/29/20,DW,0.0412
11/30/20,DW,0.1634
12/1/20,DW,0.2448
12/2/20,DW,0.1042
12/3/20,DW,0.2278
12/4/20,DW,0.0619
12/5/20,DW,0.0627
12/6/20,DW,0.0209
12/7/20,DW,0.0618
12/8/20,DW,0
12/9/20,DW,0.0418
12/10/20,DW,0.2079
12/11/20,DW,0
12/12/20,DW,0
12/13/20,DW,0.0415
12/14/20,DW,0
12/15/20,DW,0.1458
12/16/20,DW,0.3177
12/17/20,DW,0.021
12/18/20,DW,0
12/19/20,DW,0.0421
12/20/20,DW,0.0422
12/21/20,DW,0.0415
12/22/20,DW,0.0208
12/23/20,DW,0
12/24/20,DW,0
12/25/20,DW,0.105
12/26/20,DW,0.0214
12/27/20,DW,0.0214
12/28/20,DW,0.0415
12/29/20,DW,0.062
12/30/20,DW,0.041
12/31/20,DW,0.0206
1/1/21,DW,0
1/2/21,DW,0
1/3/21,DW,0
1/4/21,DW,0.0206
1/5/21,DW,0.0817
1/6/21,DW,0.0616
1/7/21,DW,0.0815
1/8/21,DW,0
1/9/21,DW,0
1/10/21,DW,0
1/11/21,DW,0
1/12/21,DW,0
1/13/21,DW,0.0206
1/14/21,DW,0
1/15/21,DW,0.2672
1/16/21,DW,0.0208
1/17/21,DW,0
1/18/21,DW,0
1/19/21,DW,0.0207
1/20/21,DW,0.0206
1/21/21,DW,0
1/22/21,DW,0
1/23/21,DW,0.0627
1/24/21,DW,0.0628
1/25/21,DW,0.1866
1/26/21,DW,0.1457
1/27/21,DW,0.0633
1/28/21,DW,0.083
1/29/21,DW,0.3689
1/30/21,DW,0
1/31/21,DW,0.0701
2/1/21,DW,0.1255
2/2/21,DW,0.2093
2/3/21,DW,0.2264
2/4/21,DW,1.0286
2/5/21,DW,0.2292
2/6/21,DW,0.0206
