Date,Series,Value
1/3/20,FOXNEWS,35.6667
1/4/20,FOXNEWS,23.6667
1/5/20,FOXNEWS,15.6667
1/6/20,FOXNEWS,14.6667
1/7/20,FOXNEWS,17.6667
1/8/20,FOXNEWS,21.6667
1/9/20,FOXNEWS,44.3333
1/10/20,FOXNEWS,74
1/11/20,FOXNEWS,96.3333
1/12/20,FOXNEWS,97.6667
1/13/20,FOXNEWS,83.3333
1/14/20,FOXNEWS,78
1/15/20,FOXNEWS,80.3333
1/16/20,FOXNEWS,93.6667
1/17/20,FOXNEWS,92
1/18/20,FOXNEWS,85.6667
1/19/20,FOXNEWS,70.6667
1/20/20,FOXNEWS,60
1/21/20,FOXNEWS,98.3333
1/22/20,FOXNEWS,201
1/23/20,FOXNEWS,298.3333
1/24/20,FOXNEWS,327.6667
1/25/20,FOXNEWS,286.3333
1/26/20,FOXNEWS,219
1/27/20,FOXNEWS,190.6667
1/28/20,FOXNEWS,150
1/29/20,FOXNEWS,150.6667
1/30/20,FOXNEWS,148.3333
1/31/20,FOXNEWS,152.3333
2/1/20,FOXNEWS,135.3333
2/2/20,FOXNEWS,84
2/3/20,FOXNEWS,76
2/4/20,FOXNEWS,52
2/5/20,FOXNEWS,51
2/6/20,FOXNEWS,33.3333
2/7/20,FOXNEWS,43.6667
2/8/20,FOXNEWS,50
2/9/20,FOXNEWS,47
2/10/20,FOXNEWS,43.6667
2/11/20,FOXNEWS,38.6667
2/12/20,FOXNEWS,25.3333
2/13/20,FOXNEWS,28.3333
2/14/20,FOXNEWS,24.6667
2/15/20,FOXNEWS,24.3333
2/16/20,FOXNEWS,11.3333
2/17/20,FOXNEWS,7
2/18/20,FOXNEWS,11
2/19/20,FOXNEWS,8
2/20/20,FOXNEWS,8
2/21/20,FOXNEWS,5.3333
2/22/20,FOXNEWS,4
2/23/20,FOXNEWS,5.3333
2/24/20,FOXNEWS,3.3333
2/25/20,FOXNEWS,4.3333
2/26/20,FOXNEWS,1.6667
2/27/20,FOXNEWS,1.6667
2/28/20,FOXNEWS,3
2/29/20,FOXNEWS,7
3/1/20,FOXNEWS,7.6667
3/2/20,FOXNEWS,5.3333
3/3/20,FOXNEWS,4.6667
3/4/20,FOXNEWS,3.3333
3/5/20,FOXNEWS,15.6667
3/6/20,FOXNEWS,18.3333
3/7/20,FOXNEWS,20.6667
3/8/20,FOXNEWS,9.3333
3/9/20,FOXNEWS,5.6667
3/10/20,FOXNEWS,6.6667
3/11/20,FOXNEWS,8
3/12/20,FOXNEWS,6.3333
3/13/20,FOXNEWS,7.3333
3/14/20,FOXNEWS,7
3/15/20,FOXNEWS,6.6667
3/16/20,FOXNEWS,2.6667
3/17/20,FOXNEWS,1.6667
3/18/20,FOXNEWS,2.3333
3/19/20,FOXNEWS,2.6667
3/20/20,FOXNEWS,2.6667
3/21/20,FOXNEWS,2.3333
3/22/20,FOXNEWS,2.3333
3/23/20,FOXNEWS,1.6667
3/24/20,FOXNEWS,1.6667
3/25/20,FOXNEWS,2
3/26/20,FOXNEWS,2.6667
3/27/20,FOXNEWS,2.6667
3/28/20,FOXNEWS,2
3/29/20,FOXNEWS,1.6667
3/30/20,FOXNEWS,1.3333
3/31/20,FOXNEWS,2.3333
4/1/20,FOXNEWS,2
4/2/20,FOXNEWS,3.6667
4/3/20,FOXNEWS,4
4/4/20,FOXNEWS,7
