Date,Series,Value
2020-01-03,ALJAZ,3
2020-01-04,ALJAZ,3.6667
2020-01-05,ALJAZ,2.3333
2020-01-06,ALJAZ,1.6667
2020-01-07,ALJAZ,4.3333
2020-01-08,ALJAZ,62
2020-01-09,ALJAZ,117.3333
2020-01-10,ALJAZ,167
2020-01-11,ALJAZ,181.6667
2020-01-12,ALJAZ,174
2020-01-13,ALJAZ,150.3333
2020-01-14,ALJAZ,103.6667
2020-01-15,ALJAZ,101.6667
2020-01-16,ALJAZ,119
2020-01-17,ALJAZ,139
2020-01-18,ALJAZ,112.3333
2020-01-19,ALJAZ,94.6667
2020-01-20,ALJAZ,73.3333
2020-01-21,ALJAZ,83.3333
2020-01-22,ALJAZ,128
2020-01-23,ALJAZ,125.6667
2020-01-24,ALJAZ,119
2020-01-25,ALJAZ,90.3333
2020-01-26,ALJAZ,93.3333
2020-01-27,ALJAZ,102.6667
2020-01-28,ALJAZ,80
2020-01-29,ALJAZ,81
2020-01-30,ALJAZ,71.3333
2020-01-31,ALJAZ,89.3333
2020-02-01,ALJAZ,84.6667
2020-02-02,ALJAZ,69.6667
2020-02-03,ALJAZ,58.6667
2020-02-04,ALJAZ,42.6667
2020-02-05,ALJAZ,45
2020-02-06,ALJAZ,23.6667
2020-02-07,ALJAZ,33.6667
2020-02-08,ALJAZ,57.3333
2020-02-09,ALJAZ,51.6667
2020-02-10,ALJAZ,39
2020-02-11,ALJAZ,6.6667
2020-02-12,ALJAZ,4
2020-02-13,ALJAZ,1.3333
2020-02-14,ALJAZ,1.3333
2020-02-15,ALJAZ,1.3333
2020-02-16,ALJAZ,1.3333
2020-02-17,ALJAZ,2
2020-02-18,ALJAZ,31
2020-02-19,ALJAZ,44
2020-02-20,ALJAZ,46
2020-02-21,ALJAZ,26.3333
2020-02-22,ALJAZ,18.3333
2020-02-23,ALJAZ,18.3333
2020-02-24,ALJAZ,10.6667
2020-02-25,ALJAZ,5.6667
2020-02-26,ALJAZ,2.3333
2020-02-27,ALJAZ,1.6667
2020-02-28,ALJAZ,4
2020-02-29,ALJAZ,5
2020-03-01,ALJAZ,3.3333
2020-03-02,ALJAZ,1
2020-03-03,ALJAZ,2.3333
2020-03-04,ALJAZ,4.3333
2020-03-05,ALJAZ,5.6667
2020-03-06,ALJAZ,4.6667
2020-03-07,ALJAZ,2.6667
2020-03-08,ALJAZ,12.3333
2020-03-09,ALJAZ,40.3333
2020-03-10,ALJAZ,44
2020-03-11,ALJAZ,36.6667
2020-03-12,ALJAZ,13.6667
2020-03-13,ALJAZ,13.6667
2020-03-14,ALJAZ,10.3333
2020-03-15,ALJAZ,5
2020-03-16,ALJAZ,2.3333
2020-03-17,ALJAZ,2
2020-03-18,ALJAZ,1
2020-03-19,ALJAZ,0
2020-03-20,ALJAZ,0
2020-03-21,ALJAZ,0.6667
2020-03-22,ALJAZ,2
2020-03-23,ALJAZ,2.3333
2020-03-24,ALJAZ,1.6667
2020-03-25,ALJAZ,0.6667
2020-03-26,ALJAZ,0.3333
2020-03-27,ALJAZ,0.6667
2020-03-28,ALJAZ,3.3333
2020-03-29,ALJAZ,4.6667
2020-03-30,ALJAZ,4.6667
2020-03-31,ALJAZ,2.3333
2020-04-01,ALJAZ,1.3333
2020-04-02,ALJAZ,1.6667
2020-04-03,ALJAZ,1.6667
2020-04-04,ALJAZ,2
2020-04-05,ALJAZ,2.3333
2020-04-06,ALJAZ,4.6667
2020-04-07,ALJAZ,5
2020-04-08,ALJAZ,4.3333
2020-04-09,ALJAZ,5.3333
2020-04-10,ALJAZ,8.6667
2020-04-11,ALJAZ,13.3333
2020-04-12,ALJAZ,19
2020-04-13,ALJAZ,21.6667
2020-04-14,ALJAZ,24.6667
2020-04-15,ALJAZ,24.3333
2020-04-16,ALJAZ,21.3333
2020-04-17,ALJAZ,23.6667
2020-04-18,ALJAZ,19
2020-04-19,ALJAZ,16.3333
2020-04-20,ALJAZ,8.6667
2020-04-21,ALJAZ,4
2020-04-22,ALJAZ,6
2020-04-23,ALJAZ,6
2020-04-24,ALJAZ,7.3333
2020-04-25,ALJAZ,5
2020-04-26,ALJAZ,3.6667
2020-04-27,ALJAZ,2.6667
2020-04-28,ALJAZ,2.6667
2020-04-29,ALJAZ,1.3333
2020-04-30,ALJAZ,2
2020-05-01,ALJAZ,2.6667
2020-05-02,ALJAZ,3
2020-05-03,ALJAZ,3.6667
2020-05-04,ALJAZ,2.3333
2020-05-05,ALJAZ,3
2020-05-06,ALJAZ,2
2020-05-07,ALJAZ,2.6667
2020-05-08,ALJAZ,1.6667
2020-05-09,ALJAZ,1
2020-05-10,ALJAZ,0
2020-05-11,ALJAZ,2.6667
2020-05-12,ALJAZ,4.3333
2020-05-13,ALJAZ,4.6667
2020-05-14,ALJAZ,3
2020-05-15,ALJAZ,2
2020-05-16,ALJAZ,27
2020-05-17,ALJAZ,34.6667
2020-05-18,ALJAZ,34.6667
2020-05-19,ALJAZ,9.6667
2020-05-20,ALJAZ,1.3333
2020-05-21,ALJAZ,1.6667
2020-05-22,ALJAZ,1.6667
2020-05-23,ALJAZ,2.3333
2020-05-24,ALJAZ,4.3333
2020-05-25,ALJAZ,5.6667
2020-05-26,ALJAZ,6.6667
2020-05-27,ALJAZ,5
2020-05-28,ALJAZ,4.6667
2020-05-29,ALJAZ,4.6667
2020-05-30,ALJAZ,4
2020-05-31,ALJAZ,3.6667
2020-06-01,ALJAZ,2.3333
2020-06-02,ALJAZ,1.6667
2020-06-03,ALJAZ,0.6667
2020-06-04,ALJAZ,0.6667
2020-06-05,ALJAZ,1
2020-06-06,ALJAZ,1
2020-06-07,ALJAZ,0.6667
2020-06-08,ALJAZ,1.3333
2020-06-09,ALJAZ,2.3333
2020-06-10,ALJAZ,3
2020-06-11,ALJAZ,16
2020-06-12,ALJAZ,15.3333
2020-06-13,ALJAZ,14.3333
2020-06-14,ALJAZ,0.3333
2020-06-15,ALJAZ,0.3333
2020-06-16,ALJAZ,0.6667
2020-06-17,ALJAZ,2.3333
2020-06-18,ALJAZ,8.6667
2020-06-19,ALJAZ,8.3333
2020-06-20,ALJAZ,23.6667
2020-06-21,ALJAZ,58.6667
2020-06-22,ALJAZ,62
2020-06-23,ALJAZ,46.6667
2020-06-24,ALJAZ,6
2020-06-25,ALJAZ,4.6667
2020-06-26,ALJAZ,6.6667
2020-06-27,ALJAZ,6.6667
2020-06-28,ALJAZ,6.3333
2020-06-29,ALJAZ,5
2020-06-30,ALJAZ,4.6667
2020-07-01,ALJAZ,3.6667
2020-07-02,ALJAZ,2.3333
2020-07-03,ALJAZ,2.6667
2020-07-04,ALJAZ,2.3333
2020-07-05,ALJAZ,1.6667
2020-07-06,ALJAZ,4.3333
2020-07-07,ALJAZ,7.3333
2020-07-08,ALJAZ,8
2020-07-09,ALJAZ,6.6667
2020-07-10,ALJAZ,12
2020-07-11,ALJAZ,14.3333
2020-07-12,ALJAZ,14.3333
2020-07-13,ALJAZ,6.6667
2020-07-14,ALJAZ,3.3333
2020-07-15,ALJAZ,1.3333
2020-07-16,ALJAZ,1.3333
2020-07-17,ALJAZ,2.3333
2020-07-18,ALJAZ,4.6667
2020-07-19,ALJAZ,6
2020-07-20,ALJAZ,6.6667
2020-07-21,ALJAZ,7.3333
2020-07-22,ALJAZ,20
2020-07-23,ALJAZ,21.3333
2020-07-24,ALJAZ,18
2020-07-25,ALJAZ,3
2020-07-26,ALJAZ,1.6667
2020-07-27,ALJAZ,6
2020-07-28,ALJAZ,21
2020-07-29,ALJAZ,20
2020-07-30,ALJAZ,26.3333
2020-07-31,ALJAZ,19.6667
2020-08-01,ALJAZ,26.3333
2020-08-02,ALJAZ,22
2020-08-03,ALJAZ,20
2020-08-04,ALJAZ,19.6667
2020-08-05,ALJAZ,20.3333
2020-08-06,ALJAZ,20.6667
2020-08-07,ALJAZ,13.6667
2020-08-08,ALJAZ,6.6667
2020-08-09,ALJAZ,0
2020-08-10,ALJAZ,1.6667
2020-08-11,ALJAZ,5.6667
2020-08-12,ALJAZ,5.6667
2020-08-13,ALJAZ,4
2020-08-14,ALJAZ,0.6667
2020-08-15,ALJAZ,7.6667
2020-08-16,ALJAZ,18
2020-08-17,ALJAZ,19.3333
2020-08-18,ALJAZ,12.6667
2020-08-19,ALJAZ,4
2020-08-20,ALJAZ,5
2020-08-21,ALJAZ,5.6667
2020-08-22,ALJAZ,4.6667
2020-08-23,ALJAZ,12
2020-08-24,ALJAZ,16.3333
2020-08-25,ALJAZ,16
2020-08-26,ALJAZ,6.6667
2020-08-27,ALJAZ,1.6667
2020-08-28,ALJAZ,4.6667
2020-08-29,ALJAZ,5
2020-08-30,ALJAZ,6.6667
2020-08-31,ALJAZ,5.6667
2020-09-01,ALJAZ,6
2020-09-02,ALJAZ,11.3333
2020-09-03,ALJAZ,13.3333
2020-09-04,ALJAZ,12.6667
2020-09-05,ALJAZ,5.6667
2020-09-06,ALJAZ,1.3333
2020-09-07,ALJAZ,0.6667
2020-09-08,ALJAZ,29.6667
2020-09-09,ALJAZ,44.6667
2020-09-10,ALJAZ,45.6667
2020-09-11,ALJAZ,17
2020-09-12,ALJAZ,3
2020-09-13,ALJAZ,5
2020-09-14,ALJAZ,5
2020-09-15,ALJAZ,5
2020-09-16,ALJAZ,14
2020-09-17,ALJAZ,15.3333
2020-09-18,ALJAZ,14.3333
2020-09-19,ALJAZ,2
2020-09-20,ALJAZ,4
2020-09-21,ALJAZ,8.3333
2020-09-22,ALJAZ,13.3333
