Date,Value,Deaths
1/1/22,0.029743,0
1/2/22,0.024936,0
1/3/22,0.024583,0
1/4/22,0.022552,0
1/5/22,0.01962,0
1/6/22,0.019822,0
1/7/22,0.020136,0
1/8/22,0.0255,0
1/9/22,0.029818,0
1/10/22,0.031337,4
1/11/22,0.024872,1
1/12/22,0.027205,0
1/13/22,0.028045,0
1/14/22,0.035228,1
1/15/22,0.031248,0
1/16/22,0.036617,0
1/17/22,0.035178,0
1/18/22,0.036393,0
1/19/22,0.03863,0
1/20/22,0.04511,0
1/21/22,0.048293,0
1/22/22,0.051191,0
1/23/22,0.055108,0
1/24/22,0.065614,0
1/25/22,0.060044,0
1/26/22,0.060406,0
1/27/22,0.054048,1
1/28/22,0.056414,0
1/29/22,0.051497,0
1/30/22,0.057573,0
1/31/22,0.052882,0
2/1/22,0.054214,0
2/2/22,0.051874,0
2/3/22,0.046307,0
2/4/22,0.051183,0
2/5/22,0.045959,0
2/6/22,0.054118,1
2/7/22,0.055729,0
2/8/22,0.051722,0
2/9/22,0.041716,0
2/10/22,0.045684,0
2/11/22,0.058512,0
2/12/22,0.093235,0
2/13/22,0.090192,0
2/14/22,0.088513,0
2/15/22,0.090075,1
2/16/22,0.075887,0
2/17/22,0.079491,0
2/18/22,0.080453,0
2/19/22,0.105019,2
2/20/22,0.099013,2
2/21/22,0.108689,5
2/22/22,0.152497,8
2/23/22,0.13078,4
2/24/22,0.286034,103
2/25/22,0.284801,89
2/26/22,0.301818,114
2/27/22,0.324483,78
2/28/22,0.286784,128
3/1/22,0.270152,132
3/2/22,0.268677,271
3/3/22,0.250263,190
3/4/22,0.248192,78
3/5/22,0.258119,125
3/6/22,0.267167,107
3/7/22,0.239974,139
3/8/22,0.219926,174
3/9/22,0.214066,87
3/10/22,0.215019,61
3/11/22,0.213175,107
3/12/22,0.209029,50
3/13/22,0.227225,137
3/14/22,0.203958,242
3/15/22,0.197646,808
3/16/22,0.193564,365
3/17/22,0.179108,76
3/18/22,0.180493,145
3/19/22,0.19508,98
3/20/22,0.182005,49
3/21/22,0.172202,372
3/22/22,0.157764,49
3/23/22,0.160006,37
3/24/22,0.173844,149
3/25/22,0.164385,189
3/26/22,0.166945,37
3/27/22,0.174569,21
3/28/22,0.150261,36
3/29/22,0.14882,44
3/30/22,0.139396,9
3/31/22,0.135923,203
4/1/22,0.136528,81
4/2/22,0.143841,2
4/3/22,0.15276,93
4/4/22,0.142461,48
4/5/22,0.143218,36
4/6/22,0.137906,13
4/7/22,0.134736,63
4/8/22,0.136059,89
4/9/22,0.137981,12
4/10/22,0.147198,122
4/11/22,0.128301,37
4/12/22,0.12799,99
4/13/22,0.133807,41
4/14/22,0.127797,67
4/15/22,0.123267,78
4/16/22,0.128917,33
4/17/22,0.128764,20
4/18/22,0.119007,64
4/19/22,0.122952,20
4/20/22,0.120903,25
4/21/22,0.119101,318
4/22/22,0.116911,99
