Date,DomainCountryCode,AverageDocTone,NumberOfArticles,Country,Lat,Lon,NATO,REGION,CONTINENT
2022-01-01,AE,5.038707246,34,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-02,AE,-1.487884211,150,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-03,AE,-3.028377772,113,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-04,AE,1.246105919,8,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-05,AE,-1.147053254,67,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-06,AE,0.594518894,46,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-07,AE,-2.965460655,51,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-08,AE,0.30461221,15,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-09,AE,-0.386308869,53,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-10,AE,-0.707331161,150,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-11,AE,0.357142857,30,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-12,AE,-1.730261189,37,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-13,AE,-3.541640117,27,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-14,AE,-4.374109572,116,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-15,AE,-4.012980752,136,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-16,AE,-5.61308721,79,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-17,AE,-4.731466344,85,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-18,AE,-3.386996363,156,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-19,AE,-4.01304859,57,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-20,AE,-2.027246279,89,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-21,AE,-3.723160496,242,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-22,AE,-3.460592295,216,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-23,AE,-3.374134546,387,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-24,AE,-3.141318325,290,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-25,AE,-2.913975507,283,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-26,AE,-3.721699131,343,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-27,AE,-3.084920946,200,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-28,AE,-4.202802133,369,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-29,AE,-2.410262302,352,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-30,AE,-3.246538409,182,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-01-31,AE,-3.837191851,319,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-01,AE,-2.679435783,246,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-02,AE,-2.857235313,318,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-03,AE,-3.119403301,209,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-04,AE,-1.52857345,121,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-05,AE,-3.370363833,274,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-06,AE,-2.14845928,454,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-07,AE,-1.551648429,406,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-08,AE,-1.275859823,289,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-09,AE,-2.348340214,291,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-10,AE,-2.123007019,239,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-11,AE,-2.826823538,401,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-12,AE,-3.089410814,1034,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-13,AE,-3.529182183,617,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-14,AE,-1.795253259,530,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-15,AE,-2.940919433,712,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-16,AE,-2.484708859,691,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-17,AE,-4.376782282,546,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-18,AE,-4.740285855,585,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-19,AE,-5.663660705,1003,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-20,AE,-4.753194473,820,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-21,AE,-4.083732117,3112,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-22,AE,-3.514059602,2167,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-23,AE,-3.559415771,1677,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-24,AE,-3.82089717,4191,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-25,AE,-4.053426082,4484,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-26,AE,-4.057546588,5275,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-27,AE,-3.545570251,2646,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-02-28,AE,-3.83641962,2794,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-01,AE,-3.70745235,5268,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-02,AE,-4.211295545,4790,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-03,AE,-4.158625685,4841,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-04,AE,-4.098842155,5393,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-05,AE,-4.552371483,3865,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-06,AE,-4.078965432,2450,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-07,AE,-3.81355527,3072,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-08,AE,-4.238593697,1780,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-09,AE,-3.902406146,2227,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-10,AE,-4.031361754,3651,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-11,AE,-3.769933003,3095,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-12,AE,-4.551246862,3473,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-13,AE,-4.310374858,1558,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-14,AE,-4.482509108,1441,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-15,AE,-3.474038652,1984,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-16,AE,-3.456677291,2691,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-17,AE,-4.321022571,1685,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-18,AE,-3.7230729,1873,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-19,AE,-3.157802513,2989,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-20,AE,-3.531326405,1269,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-21,AE,-4.042518774,1059,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-22,AE,-4.265365997,1857,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-23,AE,-4.74418884,1116,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-24,AE,-3.456845965,2348,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-25,AE,-2.897306196,1701,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-26,AE,-3.076672478,808,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-27,AE,-4.388162367,1490,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-28,AE,-3.280585245,1603,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-29,AE,-3.642482121,1480,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-30,AE,-3.925385114,2102,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-03-31,AE,-3.389001845,1084,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-01,AE,-3.122440727,639,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-02,AE,-4.794933672,806,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-03,AE,-3.826338764,675,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-04,AE,-4.439163087,491,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-05,AE,-4.865968993,603,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-06,AE,-4.196490241,665,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-07,AE,-4.407638408,793,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-08,AE,-4.985418126,535,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-09,AE,-3.80178634,616,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-10,AE,-4.326493019,682,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-11,AE,-3.997277674,668,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-12,AE,-3.194174818,676,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-13,AE,-4.217700361,736,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-14,AE,-2.514013582,688,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-15,AE,-4.954748441,662,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-16,AE,-4.304313175,647,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-17,AE,-4.840120164,700,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-18,AE,-4.367037571,627,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-19,AE,-4.835199065,733,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-20,AE,-5.010276228,503,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-21,AE,-3.524530463,542,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-22,AE,-3.589655149,696,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-23,AE,-3.790987448,474,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-24,AE,-3.697779278,503,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-25,AE,-1.774720536,583,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-26,AE,-3.547365558,655,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-27,AE,-3.650208351,618,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-28,AE,-3.992321664,417,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-29,AE,-3.380795337,483,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-04-30,AE,-3.803610072,292,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-01,AE,-2.955268225,530,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-02,AE,-3.764515829,327,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-03,AE,-3.703480385,476,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-04,AE,-4.007706199,635,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-05,AE,-3.748362202,552,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-06,AE,-3.286344939,625,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-07,AE,-3.082332529,679,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-08,AE,-3.937455467,643,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-09,AE,-2.748618154,585,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-10,AE,-2.741376338,468,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-11,AE,-3.371572028,460,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-12,AE,-4.925157407,362,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-13,AE,-3.397304085,217,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-14,AE,-3.507814002,386,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-15,AE,-0.691593459,218,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-16,AE,-3.353747278,359,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-17,AE,-3.866775971,506,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-18,AE,-3.610737457,555,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
