Date,Country,Value
2022-01-01,Belize ,0
2022-01-01,Netherlands ,0.2244
2022-01-01,Laos ,0
2022-01-01,Afghanistan ,1.1111
2022-01-01,India ,0.3259
2022-01-01,Niger ,0
2022-01-01,Poland ,0.8989
2022-01-01,Lesotho ,0
2022-01-01,Djibouti ,0
2022-01-01,Honduras ,0
2022-01-01,Kazakhstan ,17.1171
2022-01-01,Rwanda ,0
2022-01-01,Kosovo ,1.4085
2022-01-01,Portugal ,1.2821
2022-01-01,Japan ,0
2022-01-01,United States ,1.3273
2022-01-01,Sweden ,1.2281
2022-01-01,Dominican Republic ,0.6329
2022-01-01,Singapore ,0
2022-01-01,Russia ,21.8327
2022-01-01,Congo ,0
2022-01-01,Guinea ,0
2022-01-01,Oman ,0
2022-01-01,Philippines ,0.6329
2022-01-01,Gabon ,0
2022-01-01,Norway ,0
2022-01-01,Ukraine ,58.7348
2022-01-01,Armenia ,14.8276
2022-01-01,Bangladesh ,0.7923
2022-01-01,Paraguay ,0
2022-01-01,Iceland ,1.0256
2022-01-01,Tanzania ,0
2022-01-01,Brazil ,0.7416
2022-01-01,Denmark ,0.5155
2022-01-01,Burkina Faso ,0
2022-01-01,El Salvador ,0
2022-01-01,Belarus ,25.1701
2022-01-01,Saudi Arabia ,0.8547
2022-01-01,Somalia ,0
2022-01-01,Tajikistan ,0
2022-01-01,Serbia ,2.2549
2022-01-01,France ,1.504
2022-01-01,Jamaica ,0
2022-01-01,Indonesia ,0.2769
2022-01-01,Swaziland ,0
2022-01-01,Cuba ,0
2022-01-01,Argentina ,0
2022-01-01,North Korea ,0
2022-01-01,Moldova ,11.6279
2022-01-01,South Sudan ,0
2022-01-01,Bolivia ,0
2022-01-01,Kenya ,0
2022-01-01,Costa Rica ,0
2022-01-01,Croatia ,0.7862
2022-01-01,Australia ,0.7035
2022-01-01,Estonia ,4.0404
2022-01-01,Comoros ,0
2022-01-01,Azerbaijan ,11.2462
2022-01-01,Mexico ,0.196
2022-01-01,Mayotte ,0
2022-01-01,Germany ,1.0275
2022-01-01,Sudan ,0
2022-01-01,Ireland ,0.7862
2022-01-01,Luxembourg ,3.2609
2022-01-01,Malawi ,0
2022-01-01,Turkmenistan ,0
2022-01-01,Greece ,2.4516
2022-01-01,Cape Verde ,0
2022-01-01,Namibia ,0
2022-01-01,Ghana ,0.4115
2022-01-01,Myanmar ,0
2022-01-01,Italy ,0.198
2022-01-01,Kuwait ,2.1505
2022-01-01,Colombia ,0.266
2022-01-01,Pakistan ,1.0441
2022-01-01,Benin ,0
2022-01-01,Czech Republic ,3.7694
2022-01-01,Uzbekistan ,22.2222
2022-01-01,Monaco ,5.8824
2022-01-01,Montenegro ,3.125
2022-01-01,Sierra Leone ,0
2022-01-01,China ,1.056
2022-01-01,Democratic Republic of the Congo ,5
2022-01-01,Zambia ,0
2022-01-01,Panama ,1.6667
2022-01-01,Uganda ,0
2022-01-01,Cambodia ,3.4483
2022-01-01,Hong Kong ,0.6849
2022-01-01,Senegal ,0
2022-01-01,Macedonia ,2.027
2022-01-01,Vietnam ,0
2022-01-01,Mali ,0
2022-01-01,Switzerland ,0.8917
2022-01-01,Haiti ,0
2022-01-01,Mozambique ,0
2022-01-01,Algeria ,1.1834
2022-01-01,Latvia ,5.814
2022-01-01,Chad ,0
2022-01-01,Slovenia ,0.3165
2022-01-01,Bahrain ,1.5385
2022-01-01,Burundi ,0
2022-01-01,Albania ,2.2727
2022-01-01,Mauritius ,0.8
2022-01-01,Slovak Republic ,1.5424
2022-01-01,Cyprus ,3.4247
2022-01-01,Central African Republic ,0
2022-01-01,Libya ,2.6549
2022-01-01,Angola ,0
2022-01-01,Lebanon ,0.9091
2022-01-01,Canada ,0.8965
2022-01-01,Eritrea ,0
2022-01-01,Bosnia-Herzegovina ,0.3185
2022-01-01,Ethiopia ,0
2022-01-01,South Africa ,0
2022-01-01,Brunei ,0
2022-01-01,,0
2022-01-01,Uruguay ,0
2022-01-01,Zimbabwe ,0.9174
2022-01-01,Mauritania ,0
2022-01-01,Sri Lanka ,4.7619
2022-01-01,Egypt ,1.4528
2022-01-01,Botswana ,0
2022-01-01,Cameroon ,0
2022-01-01,Malaysia ,1.0288
2022-01-01,Spain ,0.4653
2022-01-01,Thailand ,0.3247
2022-01-01,Suriname ,0
2022-01-01,Guatemala ,0
2022-01-01,Israel ,2.1008
2022-01-01,Ivory Coast ,0
2022-01-01,Peru ,0.578
2022-01-01,Qatar ,2.2599
2022-01-01,Hungary ,2.4621
2022-01-01,Jordan ,0.4608
2022-01-01,Syria ,3.6408
2022-01-01,Bulgaria ,2.1798
2022-01-01,Fiji ,2.7027
2022-01-01,Guyana ,0
2022-01-01,Mongolia ,2.2222
2022-01-01,Lithuania ,6.2603
2022-01-01,Nepal ,0
2022-01-01,United Arab Emirates ,1.1038
