Date,Value,Deaths,sevent,sdescription
1/1/22,2.97,0,0,
1/2/22,2.49,0,0,
1/3/22,2.46,0,0,
1/4/22,2.26,0,0,
1/5/22,1.96,0,0,
1/6/22,1.98,0,0,
1/7/22,2.01,0,0,
1/8/22,2.55,0,0,
1/9/22,2.98,0,0,
1/10/22,3.13,4,0,
1/11/22,2.49,1,0,
1/12/22,2.72,0,0,
1/13/22,2.80,0,0,
1/14/22,3.52,1,0,
1/15/22,3.12,0,0,
1/16/22,3.66,0,0,
1/17/22,3.52,0,0,
1/18/22,3.64,0,0,
1/19/22,3.86,0,0,
1/20/22,4.51,0,0,
1/21/22,4.83,0,0,
1/22/22,5.12,0,0,
1/23/22,5.51,0,0,
1/24/22,6.56,0,0,
1/25/22,6.00,0,0,
1/26/22,6.04,0,0,
1/27/22,5.40,1,0,
1/28/22,5.64,0,0,
1/29/22,5.15,0,0,
1/30/22,5.76,0,0,
1/31/22,5.29,0,0,
2/1/22,5.42,0,0,
2/2/22,5.19,0,0,
2/3/22,4.63,0,0,
2/4/22,5.12,0,0,
2/5/22,4.60,0,0,
2/6/22,5.41,1,0,
2/7/22,5.57,0,0,
2/8/22,5.17,0,0,
2/9/22,4.17,0,0,
2/10/22,4.57,0,0,
2/11/22,5.85,0,0,
2/12/22,9.32,0,0,
2/13/22,9.02,0,0,
2/14/22,8.85,0,0,
2/15/22,9.01,1,0,
2/16/22,7.59,0,0,
2/17/22,7.95,0,0,
2/18/22,8.05,0,0,
2/19/22,10.50,2,1,Shelling intensifies in Eastern Ukraine
2/20/22,9.90,2,0,
2/21/22,10.87,5,1,"President Vladimir V. Putin recognized the independence of two territories in eastern Ukraine, Luhansk."
2/22/22,15.25,8,0,
2/23/22,13.08,4,0,
2/24/22,28.60,103,1,Russia carries out a large-scale invasion of Ukraine
2/25/22,28.48,89,0,
2/26/22,30.18,114,1,Fighting intensifies across Kyiv
2/27/22,32.45,78,0,
2/28/22,28.68,128,0,
3/1/22,27.02,132,0,
3/2/22,26.87,271,0,
3/3/22,25.03,190,0,
3/4/22,24.82,78,0,
3/5/22,25.81,125,1,Russian attacks on nuclear sites could destabilize Ukraine’s energy supply
3/6/22,26.72,107,0,
3/7/22,24.00,139,0,
3/8/22,21.99,174,0,
3/9/22,21.41,87,0,
3/10/22,21.50,61,0,
